,litepyramid_recall
bertscore-sentence-mnli-roberta-entail_contradict_P,0.027
bertscore-sentence-mnli-roberta-entail_contradict_R,0.164
bertscore-sentence-mnli-roberta-entail_contradict_F,0.11
bertscore-sentence-mnli-bart-not_neutral_P,0.054
bertscore-sentence-mnli-bart-not_neutral_R,0.13
bertscore-sentence-mnli-bart-not_neutral_F,0.12
bertscore-sentence-mnli-bart-entail_only_P,0.092
bertscore-sentence-mnli-bart-entail_only_R,0.183
bertscore-sentence-mnli-bart-entail_only_F,0.18
bertscore-sentence-mnli-bart-entail_contradict_P,0.08
bertscore-sentence-mnli-bart-entail_contradict_R,0.192
bertscore-sentence-mnli-bart-entail_contradict_F,0.136
bertscore-sentence-mnli-deberta-not_neutral_P,-0.005
bertscore-sentence-mnli-deberta-not_neutral_R,0.101
bertscore-sentence-mnli-deberta-not_neutral_F,0.093
bertscore-sentence-mnli-deberta-entail_only_P,0.04
bertscore-sentence-mnli-deberta-entail_only_R,0.165
bertscore-sentence-mnli-deberta-entail_only_F,0.158
bertscore-sentence-mnli-deberta-entail_contradict_P,0.044
bertscore-sentence-mnli-deberta-entail_contradict_R,0.193
bertscore-sentence-mnli-deberta-entail_contradict_F,0.152
bertscore-anyref-bart-default_precision,-0.035
bertscore-anyref-bart-default_recall,0.289
bertscore-anyref-bart-default_f1,0.13
bertscore-anyref-bart-min-0.2-0.5_precision,-0.046
bertscore-anyref-bart-min-0.2-0.5_recall,0.282
bertscore-anyref-bart-min-0.2-0.5_f1,0.118
bertscore-anyref-bart-min-0.5-0.7_precision,-0.046
bertscore-anyref-bart-min-0.5-0.7_recall,0.282
bertscore-anyref-bart-min-0.5-0.7_f1,0.118
bertscore-anyref-bart-mean-0.2-0.5_precision,-0.046
bertscore-anyref-bart-mean-0.2-0.5_recall,0.282
bertscore-anyref-bart-mean-0.2-0.5_f1,0.118
bertscore-anyref-bart-mean-0.5-0.7_precision,-0.046
bertscore-anyref-bart-mean-0.5-0.7_recall,0.282
bertscore-anyref-bart-mean-0.5-0.7_f1,0.118
bertscore-anyref-bart-constant-16-32_precision,-0.046
bertscore-anyref-bart-constant-16-32_recall,0.282
bertscore-anyref-bart-constant-16-32_f1,0.118
bertscore-anyref-bart-constant-32-64_precision,-0.046
bertscore-anyref-bart-constant-32-64_recall,0.282
bertscore-anyref-bart-constant-32-64_f1,0.118
bertscore-anyref-pegasus-xsum-default_precision,-0.181
bertscore-anyref-pegasus-xsum-default_recall,0.082
bertscore-anyref-pegasus-xsum-default_f1,-0.055
bertscore-anyref-pegasus-xsum-min-0.2-0.5_precision,-0.181
bertscore-anyref-pegasus-xsum-min-0.2-0.5_recall,0.082
bertscore-anyref-pegasus-xsum-min-0.2-0.5_f1,-0.055
bertscore-anyref-pegasus-xsum-min-0.5-0.7_precision,-0.181
bertscore-anyref-pegasus-xsum-min-0.5-0.7_recall,0.082
bertscore-anyref-pegasus-xsum-min-0.5-0.7_f1,-0.055
bertscore-anyref-pegasus-xsum-mean-0.2-0.5_precision,-0.181
bertscore-anyref-pegasus-xsum-mean-0.2-0.5_recall,0.082
bertscore-anyref-pegasus-xsum-mean-0.2-0.5_f1,-0.055
bertscore-anyref-pegasus-xsum-mean-0.5-0.7_precision,-0.181
bertscore-anyref-pegasus-xsum-mean-0.5-0.7_recall,0.082
bertscore-anyref-pegasus-xsum-mean-0.5-0.7_f1,-0.055
bertscore-anyref-pegasus-xsum-constant-16-32_precision,-0.157
bertscore-anyref-pegasus-xsum-constant-16-32_recall,0.118
bertscore-anyref-pegasus-xsum-constant-16-32_f1,-0.016
bertscore-anyref-pegasus-xsum-constant-32-64_precision,-0.141
bertscore-anyref-pegasus-xsum-constant-32-64_recall,0.16
bertscore-anyref-pegasus-xsum-constant-32-64_f1,0.006
rouge-anyref-bart-default_rouge1,0.265
rouge-anyref-bart-default_rouge2,0.195
rouge-anyref-bart-default_rougeL,0.175
rouge-anyref-bart-default_rougeLsum,0.175
rouge-anyref-bart-min-0.2-0.5_rouge1,0.255
rouge-anyref-bart-min-0.2-0.5_rouge2,0.186
rouge-anyref-bart-min-0.2-0.5_rougeL,0.168
rouge-anyref-bart-min-0.2-0.5_rougeLsum,0.168
rouge-anyref-bart-min-0.5-0.7_rouge1,0.255
rouge-anyref-bart-min-0.5-0.7_rouge2,0.186
rouge-anyref-bart-min-0.5-0.7_rougeL,0.168
rouge-anyref-bart-min-0.5-0.7_rougeLsum,0.168
rouge-anyref-bart-mean-0.2-0.5_rouge1,0.255
rouge-anyref-bart-mean-0.2-0.5_rouge2,0.186
rouge-anyref-bart-mean-0.2-0.5_rougeL,0.168
rouge-anyref-bart-mean-0.2-0.5_rougeLsum,0.168
rouge-anyref-bart-mean-0.5-0.7_rouge1,0.255
rouge-anyref-bart-mean-0.5-0.7_rouge2,0.186
rouge-anyref-bart-mean-0.5-0.7_rougeL,0.168
rouge-anyref-bart-mean-0.5-0.7_rougeLsum,0.168
rouge-anyref-bart-constant-16-32_rouge1,0.255
rouge-anyref-bart-constant-16-32_rouge2,0.186
rouge-anyref-bart-constant-16-32_rougeL,0.168
rouge-anyref-bart-constant-16-32_rougeLsum,0.168
rouge-anyref-bart-constant-32-64_rouge1,0.255
rouge-anyref-bart-constant-32-64_rouge2,0.186
rouge-anyref-bart-constant-32-64_rougeL,0.168
rouge-anyref-bart-constant-32-64_rougeLsum,0.168
rouge-anyref-pegasus-xsum-default_rouge1,-0.046
rouge-anyref-pegasus-xsum-default_rouge2,-0.007
rouge-anyref-pegasus-xsum-default_rougeL,-0.035
rouge-anyref-pegasus-xsum-default_rougeLsum,-0.035
rouge-anyref-pegasus-xsum-min-0.2-0.5_rouge1,-0.046
rouge-anyref-pegasus-xsum-min-0.2-0.5_rouge2,-0.007
rouge-anyref-pegasus-xsum-min-0.2-0.5_rougeL,-0.035
rouge-anyref-pegasus-xsum-min-0.2-0.5_rougeLsum,-0.035
rouge-anyref-pegasus-xsum-min-0.5-0.7_rouge1,-0.046
rouge-anyref-pegasus-xsum-min-0.5-0.7_rouge2,-0.007
rouge-anyref-pegasus-xsum-min-0.5-0.7_rougeL,-0.035
rouge-anyref-pegasus-xsum-min-0.5-0.7_rougeLsum,-0.035
rouge-anyref-pegasus-xsum-mean-0.2-0.5_rouge1,-0.046
rouge-anyref-pegasus-xsum-mean-0.2-0.5_rouge2,-0.007
rouge-anyref-pegasus-xsum-mean-0.2-0.5_rougeL,-0.035
rouge-anyref-pegasus-xsum-mean-0.2-0.5_rougeLsum,-0.035
rouge-anyref-pegasus-xsum-mean-0.5-0.7_rouge1,-0.046
rouge-anyref-pegasus-xsum-mean-0.5-0.7_rouge2,-0.007
rouge-anyref-pegasus-xsum-mean-0.5-0.7_rougeL,-0.035
rouge-anyref-pegasus-xsum-mean-0.5-0.7_rougeLsum,-0.035
rouge-anyref-pegasus-xsum-constant-16-32_rouge1,-0.016
rouge-anyref-pegasus-xsum-constant-16-32_rouge2,0.034
rouge-anyref-pegasus-xsum-constant-16-32_rougeL,-0.018
rouge-anyref-pegasus-xsum-constant-16-32_rougeLsum,-0.018
rouge-anyref-pegasus-xsum-constant-32-64_rouge1,0.028
rouge-anyref-pegasus-xsum-constant-32-64_rouge2,0.074
rouge-anyref-pegasus-xsum-constant-32-64_rougeL,0.004
rouge-anyref-pegasus-xsum-constant-32-64_rougeLsum,0.004
bleurt-anyref-bart-default_scores,0.246
bleurt-anyref-bart-min-0.2-0.5_scores,0.238
bleurt-anyref-bart-min-0.5-0.7_scores,0.238
bleurt-anyref-bart-mean-0.2-0.5_scores,0.238
bleurt-anyref-bart-mean-0.5-0.7_scores,0.238
bleurt-anyref-bart-constant-16-32_scores,0.238
bleurt-anyref-bart-constant-32-64_scores,0.238
bleurt-anyref-pegasus-xsum-default_scores,-0.032
bleurt-anyref-pegasus-xsum-min-0.2-0.5_scores,-0.032
bleurt-anyref-pegasus-xsum-min-0.5-0.7_scores,-0.032
bleurt-anyref-pegasus-xsum-mean-0.2-0.5_scores,-0.032
bleurt-anyref-pegasus-xsum-mean-0.5-0.7_scores,-0.032
bleurt-anyref-pegasus-xsum-constant-16-32_scores,-0.016
bleurt-anyref-pegasus-xsum-constant-32-64_scores,0.008
bertscore-anyref-pegasus-newsroom-default_precision,-0.123
bertscore-anyref-pegasus-newsroom-default_recall,0.174
bertscore-anyref-pegasus-newsroom-default_f1,0.013
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_precision,-0.126
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_recall,0.162
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_f1,0.012
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_precision,-0.126
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_recall,0.162
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_f1,0.012
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_precision,-0.126
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_recall,0.162
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_f1,0.012
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_precision,-0.126
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_recall,0.162
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_f1,0.012
bertscore-anyref-pegasus-newsroom-constant-16-32_precision,-0.124
bertscore-anyref-pegasus-newsroom-constant-16-32_recall,0.169
bertscore-anyref-pegasus-newsroom-constant-16-32_f1,0.015
bertscore-anyref-pegasus-newsroom-constant-32-64_precision,-0.123
bertscore-anyref-pegasus-newsroom-constant-32-64_recall,0.174
bertscore-anyref-pegasus-newsroom-constant-32-64_f1,0.013
bertscore-anyref-pegasus-cnndm-default_precision,-0.086
bertscore-anyref-pegasus-cnndm-default_recall,0.244
bertscore-anyref-pegasus-cnndm-default_f1,0.08
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_precision,-0.086
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_recall,0.244
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_f1,0.08
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_precision,-0.086
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_recall,0.244
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_f1,0.08
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_precision,-0.086
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_recall,0.244
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_f1,0.08
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_precision,-0.086
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_recall,0.244
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_f1,0.08
bertscore-anyref-pegasus-cnndm-constant-16-32_precision,-0.086
bertscore-anyref-pegasus-cnndm-constant-16-32_recall,0.244
bertscore-anyref-pegasus-cnndm-constant-16-32_f1,0.08
bertscore-anyref-pegasus-cnndm-constant-32-64_precision,-0.086
bertscore-anyref-pegasus-cnndm-constant-32-64_recall,0.244
bertscore-anyref-pegasus-cnndm-constant-32-64_f1,0.08
rouge-anyref-pegasus-newsroom-default_rouge1,0.071
rouge-anyref-pegasus-newsroom-default_rouge2,0.043
rouge-anyref-pegasus-newsroom-default_rougeL,0.004
rouge-anyref-pegasus-newsroom-default_rougeLsum,0.004
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rouge1,0.056
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rouge2,0.032
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rougeL,0.001
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rougeLsum,0.001
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rouge1,0.056
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rouge2,0.032
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rougeL,0.001
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rougeLsum,0.001
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rouge1,0.056
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rouge2,0.032
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rougeL,0.001
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rougeLsum,0.001
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rouge1,0.056
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rouge2,0.032
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rougeL,0.001
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rougeLsum,0.001
rouge-anyref-pegasus-newsroom-constant-16-32_rouge1,0.058
rouge-anyref-pegasus-newsroom-constant-16-32_rouge2,0.036
rouge-anyref-pegasus-newsroom-constant-16-32_rougeL,-0.001
rouge-anyref-pegasus-newsroom-constant-16-32_rougeLsum,-0.001
rouge-anyref-pegasus-newsroom-constant-32-64_rouge1,0.071
rouge-anyref-pegasus-newsroom-constant-32-64_rouge2,0.043
rouge-anyref-pegasus-newsroom-constant-32-64_rougeL,0.004
rouge-anyref-pegasus-newsroom-constant-32-64_rougeLsum,0.004
rouge-anyref-pegasus-cnndm-default_rouge1,0.16
rouge-anyref-pegasus-cnndm-default_rouge2,0.121
rouge-anyref-pegasus-cnndm-default_rougeL,0.098
rouge-anyref-pegasus-cnndm-default_rougeLsum,0.098
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rouge1,0.16
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rouge2,0.121
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rougeL,0.098
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rougeLsum,0.098
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rouge1,0.16
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rouge2,0.121
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rougeL,0.098
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rougeLsum,0.098
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rouge1,0.16
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rouge2,0.121
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rougeL,0.098
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rougeLsum,0.098
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rouge1,0.16
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rouge2,0.121
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rougeL,0.098
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rougeLsum,0.098
rouge-anyref-pegasus-cnndm-constant-16-32_rouge1,0.16
rouge-anyref-pegasus-cnndm-constant-16-32_rouge2,0.121
rouge-anyref-pegasus-cnndm-constant-16-32_rougeL,0.098
rouge-anyref-pegasus-cnndm-constant-16-32_rougeLsum,0.098
rouge-anyref-pegasus-cnndm-constant-32-64_rouge1,0.16
rouge-anyref-pegasus-cnndm-constant-32-64_rouge2,0.121
rouge-anyref-pegasus-cnndm-constant-32-64_rougeL,0.098
rouge-anyref-pegasus-cnndm-constant-32-64_rougeLsum,0.098
bleurt-anyref-pegasus-newsroom-default_scores,0.051
bleurt-anyref-pegasus-newsroom-min-0.2-0.5_scores,0.035
bleurt-anyref-pegasus-newsroom-min-0.5-0.7_scores,0.035
bleurt-anyref-pegasus-newsroom-mean-0.2-0.5_scores,0.035
bleurt-anyref-pegasus-newsroom-mean-0.5-0.7_scores,0.035
bleurt-anyref-pegasus-newsroom-constant-16-32_scores,0.037
bleurt-anyref-pegasus-newsroom-constant-32-64_scores,0.051
bleurt-anyref-pegasus-cnndm-default_scores,0.15
bleurt-anyref-pegasus-cnndm-min-0.2-0.5_scores,0.15
bleurt-anyref-pegasus-cnndm-min-0.5-0.7_scores,0.15
bleurt-anyref-pegasus-cnndm-mean-0.2-0.5_scores,0.15
bleurt-anyref-pegasus-cnndm-mean-0.5-0.7_scores,0.15
bleurt-anyref-pegasus-cnndm-constant-16-32_scores,0.15
bleurt-anyref-pegasus-cnndm-constant-32-64_scores,0.15
