,InformativenessRating,RelevanceRating,CoherenceRating,FluencyRating
bertscore-sentence-cos-roberta_R,0.724,0.728,0.593,0.533
bertscore-sentence-cos-roberta_F,0.742,0.757,0.629,0.577
bertscore-sentence-cos-roberta-topk-5_P,0.622,0.635,0.563,0.506
bertscore-sentence-cos-roberta-topk-5_R,0.674,0.654,0.584,0.507
bertscore-sentence-cos-roberta-topk-5_F,0.672,0.661,0.592,0.517
bertscore-sentence-cos-roberta-topk-10_P,0.654,0.666,0.598,0.547
bertscore-sentence-cos-roberta-topk-10_R,0.7,0.695,0.599,0.522
bertscore-sentence-cos-roberta-topk-10_F,0.677,0.681,0.597,0.547
bertscore-sentence-cos-roberta-topk-20_P,0.679,0.695,0.62,0.568
bertscore-sentence-cos-roberta-topk-20_R,0.711,0.717,0.591,0.521
bertscore-sentence-cos-roberta-topk-20_F,0.719,0.728,0.616,0.55
bertscore-sentence-cos-roberta-topp-0.2_P,0.622,0.632,0.567,0.514
bertscore-sentence-cos-roberta-topp-0.2_R,0.696,0.678,0.605,0.533
bertscore-sentence-cos-roberta-topp-0.2_F,0.68,0.673,0.602,0.535
bertscore-sentence-cos-roberta-topp-0.5_P,0.678,0.69,0.621,0.562
bertscore-sentence-cos-roberta-topp-0.5_R,0.727,0.726,0.606,0.542
bertscore-sentence-cos-roberta-topp-0.5_F,0.727,0.73,0.625,0.558
bertscore-sentence-cos-roberta-topp-0.7_P,0.694,0.726,0.627,0.588
bertscore-sentence-cos-roberta-topp-0.7_R,0.727,0.733,0.601,0.54
bertscore-sentence-cos-roberta-topp-0.7_F,0.741,0.754,0.63,0.572
rouge_rouge1,0.779,0.709,0.621,0.558
rouge_rouge2,0.788,0.719,0.643,0.59
rouge_rougeL,0.788,0.714,0.65,0.588
rouge_rougeLsum,0.788,0.714,0.65,0.588
rouge-topk-5_rouge1,0.672,0.626,0.565,0.486
rouge-topk-5_rouge2,0.603,0.556,0.521,0.44
rouge-topk-5_rougeL,0.628,0.578,0.554,0.47
rouge-topk-5_rougeLsum,0.628,0.578,0.554,0.47
rouge-topk-10_rouge1,0.728,0.658,0.601,0.523
rouge-topk-10_rouge2,0.663,0.591,0.562,0.478
rouge-topk-10_rougeL,0.692,0.616,0.595,0.509
rouge-topk-10_rougeLsum,0.692,0.616,0.595,0.509
rouge-topk-20_rouge1,0.764,0.689,0.62,0.541
rouge-topk-20_rouge2,0.721,0.644,0.6,0.513
rouge-topk-20_rougeL,0.742,0.662,0.63,0.537
rouge-topk-20_rougeLsum,0.742,0.662,0.63,0.537
rouge-topp-0.2_rouge1,0.714,0.655,0.613,0.518
rouge-topp-0.2_rouge2,0.636,0.575,0.556,0.459
rouge-topp-0.2_rougeL,0.658,0.595,0.588,0.489
rouge-topp-0.2_rougeLsum,0.658,0.595,0.588,0.489
rouge-topp-0.5_rouge1,0.774,0.701,0.639,0.557
rouge-topp-0.5_rouge2,0.72,0.644,0.612,0.521
rouge-topp-0.5_rougeL,0.74,0.659,0.635,0.543
rouge-topp-0.5_rougeLsum,0.74,0.659,0.635,0.543
rouge-topp-0.7_rouge1,0.779,0.71,0.629,0.56
rouge-topp-0.7_rouge2,0.76,0.689,0.632,0.559
rouge-topp-0.7_rougeL,0.771,0.697,0.653,0.574
rouge-topp-0.7_rougeLsum,0.771,0.697,0.653,0.574
bleurt_scores,0.606,0.586,0.612,0.588
bleurt-topk-5_scores,0.569,0.539,0.556,0.521
bleurt-topk-10_scores,0.603,0.579,0.595,0.569
bleurt-topk-20_scores,0.603,0.584,0.607,0.584
bleurt-topp-0.2_scores,0.563,0.542,0.561,0.525
bleurt-topp-0.5_scores,0.605,0.578,0.606,0.59
bleurt-topp-0.7_scores,0.608,0.586,0.616,0.591
bertscore-sentence-mnli-roberta-not_neutral_P,0.527,0.582,0.454,0.447
bertscore-sentence-mnli-roberta-not_neutral_R,0.327,0.282,0.218,0.154
bertscore-sentence-mnli-roberta-not_neutral_F,0.391,0.357,0.275,0.205
bertscore-sentence-mnli-roberta-entail_only_P,0.508,0.563,0.496,0.503
bertscore-sentence-mnli-roberta-entail_only_R,0.329,0.275,0.295,0.275
bertscore-sentence-mnli-roberta-entail_only_F,0.401,0.361,0.369,0.343
bertscore-sentence-mnli-roberta-entail_contradict_P,0.494,0.549,0.492,0.501
bertscore-sentence-mnli-roberta-entail_contradict_R,0.345,0.297,0.343,0.342
bertscore-sentence-mnli-roberta-entail_contradict_F,0.255,0.229,0.277,0.246
bertscore-sentence-mnli-bart-not_neutral_P,0.324,0.36,0.313,0.282
bertscore-sentence-mnli-bart-not_neutral_R,0.257,0.219,0.141,0.105
bertscore-sentence-mnli-bart-not_neutral_F,0.272,0.238,0.163,0.124
bertscore-sentence-mnli-bart-entail_only_P,0.514,0.554,0.543,0.534
bertscore-sentence-mnli-bart-entail_only_R,0.405,0.336,0.366,0.305
bertscore-sentence-mnli-bart-entail_only_F,0.454,0.395,0.419,0.358
bertscore-sentence-mnli-bart-entail_contradict_P,0.516,0.56,0.54,0.536
bertscore-sentence-mnli-bart-entail_contradict_R,0.398,0.351,0.383,0.374
bertscore-sentence-mnli-bart-entail_contradict_F,0.249,0.197,0.242,0.222
bertscore-sentence-mnli-deberta-not_neutral_P,0.407,0.45,0.382,0.386
bertscore-sentence-mnli-deberta-not_neutral_R,0.17,0.133,0.075,0.048
bertscore-sentence-mnli-deberta-not_neutral_F,0.227,0.191,0.129,0.105
bertscore-sentence-mnli-deberta-entail_only_P,0.479,0.516,0.502,0.485
bertscore-sentence-mnli-deberta-entail_only_R,0.31,0.251,0.274,0.246
bertscore-sentence-mnli-deberta-entail_only_F,0.37,0.318,0.334,0.295
bertscore-sentence-mnli-deberta-entail_contradict_P,0.504,0.543,0.52,0.502
bertscore-sentence-mnli-deberta-entail_contradict_R,0.489,0.423,0.45,0.406
bertscore-sentence-mnli-deberta-entail_contradict_F,0.22,0.17,0.184,0.175
bertscore-anyref-bart-default_precision,0.332,0.371,0.341,0.333
bertscore-anyref-bart-default_recall,0.711,0.679,0.63,0.597
bertscore-anyref-bart-default_f1,0.561,0.564,0.519,0.496
bertscore-anyref-bart-min-0.2-0.5_precision,0.307,0.354,0.33,0.311
bertscore-anyref-bart-min-0.2-0.5_recall,0.705,0.684,0.628,0.586
bertscore-anyref-bart-min-0.2-0.5_f1,0.548,0.563,0.518,0.485
bertscore-anyref-bart-min-0.5-0.7_precision,0.307,0.354,0.33,0.311
bertscore-anyref-bart-min-0.5-0.7_recall,0.705,0.684,0.628,0.586
bertscore-anyref-bart-min-0.5-0.7_f1,0.548,0.563,0.518,0.485
bertscore-anyref-bart-mean-0.2-0.5_precision,0.307,0.354,0.33,0.311
bertscore-anyref-bart-mean-0.2-0.5_recall,0.705,0.684,0.628,0.586
bertscore-anyref-bart-mean-0.2-0.5_f1,0.548,0.563,0.518,0.485
bertscore-anyref-bart-mean-0.5-0.7_precision,0.307,0.354,0.33,0.311
bertscore-anyref-bart-mean-0.5-0.7_recall,0.705,0.684,0.628,0.586
bertscore-anyref-bart-mean-0.5-0.7_f1,0.548,0.563,0.518,0.485
bertscore-anyref-bart-constant-16-32_precision,0.307,0.353,0.33,0.311
bertscore-anyref-bart-constant-16-32_recall,0.704,0.684,0.628,0.586
bertscore-anyref-bart-constant-16-32_f1,0.548,0.563,0.518,0.485
bertscore-anyref-bart-constant-32-64_precision,0.309,0.357,0.329,0.311
bertscore-anyref-bart-constant-32-64_recall,0.704,0.685,0.629,0.586
bertscore-anyref-bart-constant-32-64_f1,0.55,0.566,0.518,0.485
bertscore-anyref-pegasus-xsum-default_precision,0.026,0.083,0.097,0.133
bertscore-anyref-pegasus-xsum-default_recall,0.552,0.555,0.544,0.543
bertscore-anyref-pegasus-xsum-default_f1,0.324,0.356,0.364,0.37
bertscore-anyref-pegasus-xsum-min-0.2-0.5_precision,0.026,0.083,0.097,0.133
bertscore-anyref-pegasus-xsum-min-0.2-0.5_recall,0.552,0.555,0.544,0.543
bertscore-anyref-pegasus-xsum-min-0.2-0.5_f1,0.324,0.356,0.364,0.37
bertscore-anyref-pegasus-xsum-min-0.5-0.7_precision,0.026,0.083,0.097,0.133
bertscore-anyref-pegasus-xsum-min-0.5-0.7_recall,0.552,0.555,0.544,0.543
bertscore-anyref-pegasus-xsum-min-0.5-0.7_f1,0.324,0.356,0.364,0.37
bertscore-anyref-pegasus-xsum-mean-0.2-0.5_precision,0.026,0.083,0.097,0.133
bertscore-anyref-pegasus-xsum-mean-0.2-0.5_recall,0.552,0.555,0.544,0.543
bertscore-anyref-pegasus-xsum-mean-0.2-0.5_f1,0.324,0.356,0.364,0.37
bertscore-anyref-pegasus-xsum-mean-0.5-0.7_precision,0.026,0.083,0.097,0.133
bertscore-anyref-pegasus-xsum-mean-0.5-0.7_recall,0.552,0.555,0.544,0.543
bertscore-anyref-pegasus-xsum-mean-0.5-0.7_f1,0.324,0.356,0.364,0.37
bertscore-anyref-pegasus-xsum-constant-16-32_precision,0.082,0.132,0.137,0.165
bertscore-anyref-pegasus-xsum-constant-16-32_recall,0.624,0.603,0.575,0.571
bertscore-anyref-pegasus-xsum-constant-16-32_f1,0.418,0.439,0.418,0.423
bertscore-anyref-pegasus-xsum-constant-32-64_precision,0.106,0.157,0.143,0.172
bertscore-anyref-pegasus-xsum-constant-32-64_recall,0.631,0.613,0.579,0.573
bertscore-anyref-pegasus-xsum-constant-32-64_f1,0.43,0.454,0.423,0.43
rouge-anyref-bart-default_rouge1,0.622,0.594,0.503,0.459
rouge-anyref-bart-default_rouge2,0.507,0.452,0.418,0.393
rouge-anyref-bart-default_rougeL,0.565,0.537,0.475,0.421
rouge-anyref-bart-default_rougeLsum,0.565,0.537,0.475,0.421
rouge-anyref-bart-min-0.2-0.5_rouge1,0.564,0.561,0.469,0.419
rouge-anyref-bart-min-0.2-0.5_rouge2,0.451,0.429,0.378,0.346
rouge-anyref-bart-min-0.2-0.5_rougeL,0.497,0.491,0.424,0.369
rouge-anyref-bart-min-0.2-0.5_rougeLsum,0.497,0.491,0.424,0.369
rouge-anyref-bart-min-0.5-0.7_rouge1,0.564,0.561,0.469,0.419
rouge-anyref-bart-min-0.5-0.7_rouge2,0.451,0.429,0.378,0.346
rouge-anyref-bart-min-0.5-0.7_rougeL,0.497,0.491,0.424,0.369
rouge-anyref-bart-min-0.5-0.7_rougeLsum,0.497,0.491,0.424,0.369
rouge-anyref-bart-mean-0.2-0.5_rouge1,0.564,0.561,0.469,0.419
rouge-anyref-bart-mean-0.2-0.5_rouge2,0.451,0.429,0.378,0.346
rouge-anyref-bart-mean-0.2-0.5_rougeL,0.497,0.491,0.424,0.369
rouge-anyref-bart-mean-0.2-0.5_rougeLsum,0.497,0.491,0.424,0.369
rouge-anyref-bart-mean-0.5-0.7_rouge1,0.564,0.561,0.469,0.419
rouge-anyref-bart-mean-0.5-0.7_rouge2,0.451,0.429,0.378,0.346
rouge-anyref-bart-mean-0.5-0.7_rougeL,0.497,0.491,0.424,0.369
rouge-anyref-bart-mean-0.5-0.7_rougeLsum,0.497,0.491,0.424,0.369
rouge-anyref-bart-constant-16-32_rouge1,0.565,0.562,0.471,0.419
rouge-anyref-bart-constant-16-32_rouge2,0.451,0.429,0.378,0.346
rouge-anyref-bart-constant-16-32_rougeL,0.5,0.49,0.427,0.369
rouge-anyref-bart-constant-16-32_rougeLsum,0.5,0.49,0.427,0.369
rouge-anyref-bart-constant-32-64_rouge1,0.571,0.567,0.471,0.422
rouge-anyref-bart-constant-32-64_rouge2,0.454,0.432,0.382,0.348
rouge-anyref-bart-constant-32-64_rougeL,0.504,0.495,0.426,0.369
rouge-anyref-bart-constant-32-64_rougeLsum,0.504,0.495,0.426,0.369
rouge-anyref-pegasus-xsum-default_rouge1,0.369,0.425,0.33,0.318
rouge-anyref-pegasus-xsum-default_rouge2,0.336,0.332,0.296,0.31
rouge-anyref-pegasus-xsum-default_rougeL,0.295,0.339,0.281,0.288
rouge-anyref-pegasus-xsum-default_rougeLsum,0.295,0.339,0.281,0.288
rouge-anyref-pegasus-xsum-min-0.2-0.5_rouge1,0.369,0.425,0.33,0.318
rouge-anyref-pegasus-xsum-min-0.2-0.5_rouge2,0.336,0.332,0.296,0.31
rouge-anyref-pegasus-xsum-min-0.2-0.5_rougeL,0.295,0.339,0.281,0.288
rouge-anyref-pegasus-xsum-min-0.2-0.5_rougeLsum,0.295,0.339,0.281,0.288
rouge-anyref-pegasus-xsum-min-0.5-0.7_rouge1,0.369,0.425,0.33,0.318
rouge-anyref-pegasus-xsum-min-0.5-0.7_rouge2,0.336,0.332,0.296,0.31
rouge-anyref-pegasus-xsum-min-0.5-0.7_rougeL,0.295,0.339,0.281,0.288
rouge-anyref-pegasus-xsum-min-0.5-0.7_rougeLsum,0.295,0.339,0.281,0.288
rouge-anyref-pegasus-xsum-mean-0.2-0.5_rouge1,0.369,0.425,0.33,0.318
rouge-anyref-pegasus-xsum-mean-0.2-0.5_rouge2,0.336,0.332,0.296,0.31
rouge-anyref-pegasus-xsum-mean-0.2-0.5_rougeL,0.295,0.339,0.281,0.288
rouge-anyref-pegasus-xsum-mean-0.2-0.5_rougeLsum,0.295,0.339,0.281,0.288
rouge-anyref-pegasus-xsum-mean-0.5-0.7_rouge1,0.369,0.425,0.33,0.318
rouge-anyref-pegasus-xsum-mean-0.5-0.7_rouge2,0.336,0.332,0.296,0.31
rouge-anyref-pegasus-xsum-mean-0.5-0.7_rougeL,0.295,0.339,0.281,0.288
rouge-anyref-pegasus-xsum-mean-0.5-0.7_rougeLsum,0.295,0.339,0.281,0.288
rouge-anyref-pegasus-xsum-constant-16-32_rouge1,0.447,0.492,0.368,0.341
rouge-anyref-pegasus-xsum-constant-16-32_rouge2,0.374,0.367,0.319,0.317
rouge-anyref-pegasus-xsum-constant-16-32_rougeL,0.347,0.382,0.295,0.292
rouge-anyref-pegasus-xsum-constant-16-32_rougeLsum,0.347,0.382,0.295,0.292
rouge-anyref-pegasus-xsum-constant-32-64_rouge1,0.492,0.521,0.403,0.379
rouge-anyref-pegasus-xsum-constant-32-64_rouge2,0.376,0.355,0.323,0.316
rouge-anyref-pegasus-xsum-constant-32-64_rougeL,0.386,0.403,0.349,0.34
rouge-anyref-pegasus-xsum-constant-32-64_rougeLsum,0.386,0.403,0.349,0.34
bleurt-anyref-bart-default_scores,0.501,0.475,0.401,0.384
bleurt-anyref-bart-min-0.2-0.5_scores,0.473,0.48,0.394,0.371
bleurt-anyref-bart-min-0.5-0.7_scores,0.473,0.48,0.394,0.371
bleurt-anyref-bart-mean-0.2-0.5_scores,0.473,0.48,0.394,0.371
bleurt-anyref-bart-mean-0.5-0.7_scores,0.473,0.48,0.394,0.371
bleurt-anyref-bart-constant-16-32_scores,0.473,0.481,0.395,0.372
bleurt-anyref-bart-constant-32-64_scores,0.47,0.479,0.388,0.367
bleurt-anyref-pegasus-xsum-default_scores,0.37,0.388,0.302,0.271
bleurt-anyref-pegasus-xsum-min-0.2-0.5_scores,0.37,0.388,0.302,0.271
bleurt-anyref-pegasus-xsum-min-0.5-0.7_scores,0.37,0.388,0.302,0.271
bleurt-anyref-pegasus-xsum-mean-0.2-0.5_scores,0.37,0.388,0.302,0.271
bleurt-anyref-pegasus-xsum-mean-0.5-0.7_scores,0.37,0.388,0.302,0.271
bleurt-anyref-pegasus-xsum-constant-16-32_scores,0.398,0.408,0.314,0.291
bleurt-anyref-pegasus-xsum-constant-32-64_scores,0.384,0.386,0.294,0.282
bertscore-anyref-pegasus-newsroom-default_precision,0.343,0.361,0.333,0.312
bertscore-anyref-pegasus-newsroom-default_recall,0.669,0.619,0.607,0.548
bertscore-anyref-pegasus-newsroom-default_f1,0.545,0.521,0.502,0.446
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_precision,0.271,0.321,0.271,0.273
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_recall,0.64,0.615,0.573,0.527
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_f1,0.496,0.505,0.458,0.421
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_precision,0.271,0.321,0.271,0.273
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_recall,0.64,0.615,0.573,0.527
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_f1,0.496,0.505,0.458,0.421
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_precision,0.271,0.321,0.271,0.273
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_recall,0.64,0.615,0.573,0.527
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_f1,0.496,0.505,0.458,0.421
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_precision,0.271,0.321,0.271,0.273
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_recall,0.64,0.615,0.573,0.527
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_f1,0.496,0.505,0.458,0.421
bertscore-anyref-pegasus-newsroom-constant-16-32_precision,0.271,0.321,0.271,0.273
bertscore-anyref-pegasus-newsroom-constant-16-32_recall,0.64,0.615,0.572,0.526
bertscore-anyref-pegasus-newsroom-constant-16-32_f1,0.496,0.505,0.458,0.421
bertscore-anyref-pegasus-newsroom-constant-32-64_precision,0.343,0.361,0.333,0.312
bertscore-anyref-pegasus-newsroom-constant-32-64_recall,0.669,0.619,0.607,0.548
bertscore-anyref-pegasus-newsroom-constant-32-64_f1,0.545,0.521,0.502,0.446
bertscore-anyref-pegasus-cnndm-default_precision,0.302,0.328,0.336,0.317
bertscore-anyref-pegasus-cnndm-default_recall,0.724,0.682,0.66,0.607
bertscore-anyref-pegasus-cnndm-default_f1,0.574,0.562,0.552,0.509
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_precision,0.302,0.328,0.337,0.318
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_recall,0.724,0.681,0.66,0.606
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_f1,0.574,0.561,0.552,0.509
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_precision,0.302,0.328,0.337,0.318
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_recall,0.724,0.681,0.66,0.606
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_f1,0.574,0.561,0.552,0.509
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_precision,0.302,0.328,0.337,0.318
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_recall,0.724,0.681,0.66,0.606
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_f1,0.574,0.561,0.552,0.509
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_precision,0.302,0.328,0.337,0.318
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_recall,0.724,0.681,0.66,0.606
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_f1,0.574,0.561,0.552,0.509
bertscore-anyref-pegasus-cnndm-constant-16-32_precision,0.302,0.328,0.337,0.318
bertscore-anyref-pegasus-cnndm-constant-16-32_recall,0.724,0.681,0.66,0.606
bertscore-anyref-pegasus-cnndm-constant-16-32_f1,0.574,0.561,0.552,0.509
bertscore-anyref-pegasus-cnndm-constant-32-64_precision,0.302,0.328,0.336,0.317
bertscore-anyref-pegasus-cnndm-constant-32-64_recall,0.724,0.682,0.66,0.607
bertscore-anyref-pegasus-cnndm-constant-32-64_f1,0.574,0.562,0.552,0.509
rouge-anyref-pegasus-newsroom-default_rouge1,0.559,0.529,0.442,0.371
rouge-anyref-pegasus-newsroom-default_rouge2,0.467,0.424,0.375,0.311
rouge-anyref-pegasus-newsroom-default_rougeL,0.501,0.475,0.406,0.33
rouge-anyref-pegasus-newsroom-default_rougeLsum,0.501,0.475,0.406,0.33
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rouge1,0.451,0.461,0.35,0.307
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rouge2,0.393,0.388,0.301,0.269
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rougeL,0.412,0.43,0.325,0.278
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rougeLsum,0.412,0.43,0.325,0.278
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rouge1,0.451,0.461,0.35,0.307
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rouge2,0.393,0.388,0.301,0.269
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rougeL,0.412,0.43,0.325,0.278
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rougeLsum,0.412,0.43,0.325,0.278
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rouge1,0.451,0.461,0.35,0.307
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rouge2,0.393,0.388,0.301,0.269
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rougeL,0.412,0.43,0.325,0.278
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rougeLsum,0.412,0.43,0.325,0.278
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rouge1,0.451,0.461,0.35,0.307
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rouge2,0.393,0.388,0.301,0.269
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rougeL,0.412,0.43,0.325,0.278
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rougeLsum,0.412,0.43,0.325,0.278
rouge-anyref-pegasus-newsroom-constant-16-32_rouge1,0.452,0.461,0.35,0.308
rouge-anyref-pegasus-newsroom-constant-16-32_rouge2,0.393,0.388,0.301,0.269
rouge-anyref-pegasus-newsroom-constant-16-32_rougeL,0.412,0.43,0.325,0.279
rouge-anyref-pegasus-newsroom-constant-16-32_rougeLsum,0.412,0.43,0.325,0.279
rouge-anyref-pegasus-newsroom-constant-32-64_rouge1,0.559,0.529,0.442,0.371
rouge-anyref-pegasus-newsroom-constant-32-64_rouge2,0.467,0.424,0.375,0.311
rouge-anyref-pegasus-newsroom-constant-32-64_rougeL,0.501,0.475,0.406,0.33
rouge-anyref-pegasus-newsroom-constant-32-64_rougeLsum,0.501,0.475,0.406,0.33
rouge-anyref-pegasus-cnndm-default_rouge1,0.638,0.617,0.532,0.44
rouge-anyref-pegasus-cnndm-default_rouge2,0.536,0.453,0.438,0.374
rouge-anyref-pegasus-cnndm-default_rougeL,0.572,0.539,0.475,0.389
rouge-anyref-pegasus-cnndm-default_rougeLsum,0.572,0.539,0.475,0.389
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rouge1,0.636,0.614,0.53,0.439
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rouge2,0.536,0.453,0.438,0.374
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rougeL,0.572,0.538,0.475,0.389
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rougeLsum,0.572,0.538,0.475,0.389
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rouge1,0.636,0.614,0.53,0.439
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rouge2,0.536,0.453,0.438,0.374
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rougeL,0.572,0.538,0.475,0.389
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rougeLsum,0.572,0.538,0.475,0.389
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rouge1,0.636,0.614,0.53,0.439
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rouge2,0.536,0.453,0.438,0.374
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rougeL,0.572,0.538,0.475,0.389
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rougeLsum,0.572,0.538,0.475,0.389
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rouge1,0.636,0.614,0.53,0.439
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rouge2,0.536,0.453,0.438,0.374
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rougeL,0.572,0.538,0.475,0.389
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rougeLsum,0.572,0.538,0.475,0.389
rouge-anyref-pegasus-cnndm-constant-16-32_rouge1,0.636,0.614,0.53,0.439
rouge-anyref-pegasus-cnndm-constant-16-32_rouge2,0.536,0.453,0.438,0.374
rouge-anyref-pegasus-cnndm-constant-16-32_rougeL,0.572,0.538,0.475,0.389
rouge-anyref-pegasus-cnndm-constant-16-32_rougeLsum,0.572,0.538,0.475,0.389
rouge-anyref-pegasus-cnndm-constant-32-64_rouge1,0.638,0.617,0.532,0.44
rouge-anyref-pegasus-cnndm-constant-32-64_rouge2,0.536,0.453,0.438,0.374
rouge-anyref-pegasus-cnndm-constant-32-64_rougeL,0.572,0.539,0.475,0.389
rouge-anyref-pegasus-cnndm-constant-32-64_rougeLsum,0.572,0.539,0.475,0.389
bleurt-anyref-pegasus-newsroom-default_scores,0.46,0.419,0.395,0.348
