,InformativenessRating,RelevanceRating,CoherenceRating,FluencyRating
bleurt-topk-10_scores,0.46,0.424,0.492,0.452
bleurt-topk-20_scores,0.446,0.414,0.494,0.463
bleurt-topp-0.2_scores,0.465,0.445,0.471,0.426
bleurt-topp-0.5_scores,0.458,0.432,0.484,0.458
bleurt-topp-0.7_scores,0.468,0.425,0.508,0.481
bertscore-anyref-pegasus-large_precision,0.231,0.249,0.302,0.277
bertscore-anyref-pegasus-large_recall,0.539,0.498,0.525,0.488
bertscore-anyref-pegasus-large_f1,0.396,0.389,0.41,0.387
rouge-anyref-pegasus-large_rouge1,0.475,0.457,0.44,0.378
rouge-anyref-pegasus-large_rouge2,0.37,0.374,0.371,0.309
rouge-anyref-pegasus-large_rougeL,0.454,0.437,0.43,0.36
rouge-anyref-pegasus-large_rougeLsum,0.454,0.437,0.43,0.36
bleurt-anyref-pegasus-large_scores,0.333,0.334,0.345,0.32
bertscore-sentence-mnli-roberta-not_neutral_P,0.279,0.332,0.281,0.307
bertscore-sentence-mnli-roberta-not_neutral_R,0.263,0.223,0.164,0.116
bertscore-sentence-mnli-roberta-not_neutral_F,0.302,0.26,0.205,0.157
bertscore-sentence-mnli-roberta-entail_only_P,0.311,0.343,0.333,0.372
bertscore-sentence-mnli-roberta-entail_only_R,0.287,0.216,0.241,0.219
bertscore-sentence-mnli-roberta-entail_only_F,0.354,0.281,0.301,0.289
bertscore-sentence-mnli-roberta-entail_contradict_P,0.296,0.345,0.334,0.368
bertscore-sentence-mnli-roberta-entail_contradict_R,0.313,0.252,0.298,0.292
bertscore-sentence-mnli-roberta-entail_contradict_F,0.241,0.212,0.233,0.199
bertscore-sentence-mnli-bart-not_neutral_P,0.084,0.118,0.122,0.109
bertscore-sentence-mnli-bart-not_neutral_R,0.235,0.185,0.106,0.09
bertscore-sentence-mnli-bart-not_neutral_F,0.232,0.185,0.126,0.111
bertscore-sentence-mnli-bart-entail_only_P,0.294,0.325,0.358,0.359
bertscore-sentence-mnli-bart-entail_only_R,0.361,0.283,0.299,0.274
bertscore-sentence-mnli-bart-entail_only_F,0.377,0.295,0.325,0.296
bertscore-sentence-mnli-bart-entail_contradict_P,0.315,0.34,0.379,0.376
bertscore-sentence-mnli-bart-entail_contradict_R,0.346,0.263,0.337,0.316
bertscore-sentence-mnli-bart-entail_contradict_F,0.245,0.184,0.227,0.188
bertscore-sentence-mnli-deberta-xlarge-not_neutral_P,0.246,0.278,0.291,0.326
bertscore-sentence-mnli-deberta-xlarge-not_neutral_R,0.146,0.081,0.061,0.041
bertscore-sentence-mnli-deberta-xlarge-not_neutral_F,0.176,0.12,0.091,0.073
bertscore-sentence-mnli-deberta-xlarge-entail_only_P,0.284,0.325,0.348,0.369
bertscore-sentence-mnli-deberta-xlarge-entail_only_R,0.229,0.163,0.204,0.177
bertscore-sentence-mnli-deberta-xlarge-entail_only_F,0.285,0.227,0.253,0.229
bertscore-sentence-mnli-deberta-xlarge-entail_contradict_P,0.305,0.35,0.372,0.385
bertscore-sentence-mnli-deberta-xlarge-entail_contradict_R,0.377,0.304,0.351,0.304
bertscore-sentence-mnli-deberta-xlarge-entail_contradict_F,0.212,0.15,0.18,0.157
bertscore-anyref-bart-default_precision,0.208,0.223,0.262,0.242
bertscore-anyref-bart-default_recall,0.545,0.481,0.497,0.464
bertscore-anyref-bart-default_f1,0.398,0.376,0.4,0.381
bertscore-anyref-bart-min-0.2-0.5_precision,0.205,0.218,0.258,0.238
bertscore-anyref-bart-min-0.2-0.5_recall,0.55,0.499,0.499,0.459
bertscore-anyref-bart-min-0.2-0.5_f1,0.377,0.36,0.4,0.378
bertscore-anyref-bart-min-0.5-0.7_precision,0.205,0.218,0.258,0.238
bertscore-anyref-bart-min-0.5-0.7_recall,0.55,0.499,0.499,0.459
bertscore-anyref-bart-min-0.5-0.7_f1,0.377,0.36,0.4,0.378
bertscore-anyref-bart-mean-0.2-0.5_precision,0.205,0.218,0.258,0.238
bertscore-anyref-bart-mean-0.2-0.5_recall,0.55,0.499,0.499,0.459
bertscore-anyref-bart-mean-0.2-0.5_f1,0.377,0.36,0.4,0.378
bertscore-anyref-bart-mean-0.5-0.7_precision,0.205,0.218,0.258,0.238
bertscore-anyref-bart-mean-0.5-0.7_recall,0.55,0.499,0.499,0.459
bertscore-anyref-bart-mean-0.5-0.7_f1,0.377,0.36,0.4,0.378
bertscore-anyref-bart-constant-16-32_precision,0.205,0.218,0.258,0.238
bertscore-anyref-bart-constant-16-32_recall,0.55,0.499,0.499,0.459
bertscore-anyref-bart-constant-16-32_f1,0.377,0.36,0.4,0.378
bertscore-anyref-bart-constant-32-64_precision,0.212,0.225,0.263,0.24
bertscore-anyref-bart-constant-32-64_recall,0.547,0.497,0.498,0.459
bertscore-anyref-bart-constant-32-64_f1,0.378,0.364,0.4,0.376
rouge-anyref-bart-default_rouge1,0.427,0.392,0.353,0.3
rouge-anyref-bart-default_rouge2,0.377,0.346,0.303,0.31
rouge-anyref-bart-default_rougeL,0.42,0.375,0.354,0.309
rouge-anyref-bart-default_rougeLsum,0.42,0.375,0.354,0.309
rouge-anyref-bart-min-0.2-0.5_rouge1,0.384,0.34,0.328,0.283
rouge-anyref-bart-min-0.2-0.5_rouge2,0.336,0.309,0.255,0.267
rouge-anyref-bart-min-0.2-0.5_rougeL,0.369,0.329,0.307,0.282
rouge-anyref-bart-min-0.2-0.5_rougeLsum,0.369,0.329,0.307,0.282
rouge-anyref-bart-min-0.5-0.7_rouge1,0.384,0.34,0.328,0.283
rouge-anyref-bart-min-0.5-0.7_rouge2,0.336,0.309,0.255,0.267
rouge-anyref-bart-min-0.5-0.7_rougeL,0.369,0.329,0.307,0.282
rouge-anyref-bart-min-0.5-0.7_rougeLsum,0.369,0.329,0.307,0.282
rouge-anyref-bart-mean-0.2-0.5_rouge1,0.384,0.34,0.328,0.283
rouge-anyref-bart-mean-0.2-0.5_rouge2,0.336,0.309,0.255,0.267
rouge-anyref-bart-mean-0.2-0.5_rougeL,0.369,0.329,0.307,0.282
rouge-anyref-bart-mean-0.2-0.5_rougeLsum,0.369,0.329,0.307,0.282
rouge-anyref-bart-mean-0.5-0.7_rouge1,0.384,0.34,0.328,0.283
rouge-anyref-bart-mean-0.5-0.7_rouge2,0.336,0.309,0.255,0.267
rouge-anyref-bart-mean-0.5-0.7_rougeL,0.369,0.329,0.307,0.282
rouge-anyref-bart-mean-0.5-0.7_rougeLsum,0.369,0.329,0.307,0.282
rouge-anyref-bart-constant-16-32_rouge1,0.386,0.342,0.33,0.282
rouge-anyref-bart-constant-16-32_rouge2,0.336,0.309,0.255,0.267
rouge-anyref-bart-constant-16-32_rougeL,0.371,0.328,0.309,0.28
rouge-anyref-bart-constant-16-32_rougeLsum,0.371,0.328,0.309,0.28
rouge-anyref-bart-constant-32-64_rouge1,0.389,0.344,0.333,0.281
rouge-anyref-bart-constant-32-64_rouge2,0.336,0.309,0.256,0.265
rouge-anyref-bart-constant-32-64_rougeL,0.374,0.33,0.31,0.279
rouge-anyref-bart-constant-32-64_rougeLsum,0.374,0.33,0.31,0.279
bleurt-anyref-bart-default_scores,0.366,0.349,0.289,0.293
bleurt-anyref-bart-min-0.2-0.5_scores,0.329,0.317,0.263,0.267
bleurt-anyref-bart-min-0.5-0.7_scores,0.329,0.317,0.263,0.267
bleurt-anyref-bart-mean-0.2-0.5_scores,0.329,0.317,0.263,0.267
bleurt-anyref-bart-mean-0.5-0.7_scores,0.329,0.317,0.263,0.267
bleurt-anyref-bart-constant-16-32_scores,0.329,0.319,0.263,0.269
bleurt-anyref-bart-constant-32-64_scores,0.332,0.321,0.265,0.265
bertscore-anyref-pegasus-newsroom-default_precision,0.205,0.239,0.244,0.216
bertscore-anyref-pegasus-newsroom-default_recall,0.528,0.492,0.47,0.441
bertscore-anyref-pegasus-newsroom-default_f1,0.416,0.409,0.386,0.37
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_precision,0.153,0.196,0.186,0.174
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_recall,0.501,0.485,0.449,0.425
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_f1,0.369,0.387,0.342,0.334
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_precision,0.153,0.196,0.186,0.174
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_recall,0.501,0.485,0.449,0.425
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_f1,0.369,0.387,0.342,0.334
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_precision,0.153,0.196,0.186,0.174
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_recall,0.501,0.485,0.449,0.425
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_f1,0.369,0.387,0.342,0.334
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_precision,0.153,0.196,0.186,0.174
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_recall,0.501,0.485,0.449,0.425
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_f1,0.369,0.387,0.342,0.334
bertscore-anyref-pegasus-newsroom-constant-16-32_precision,0.153,0.196,0.186,0.174
bertscore-anyref-pegasus-newsroom-constant-16-32_recall,0.501,0.484,0.447,0.423
bertscore-anyref-pegasus-newsroom-constant-16-32_f1,0.369,0.387,0.342,0.334
bertscore-anyref-pegasus-newsroom-constant-32-64_precision,0.205,0.239,0.244,0.216
bertscore-anyref-pegasus-newsroom-constant-32-64_recall,0.528,0.492,0.47,0.441
bertscore-anyref-pegasus-newsroom-constant-32-64_f1,0.416,0.409,0.386,0.37
bertscore-anyref-pegasus-cnndm-default_precision,0.187,0.219,0.269,0.241
bertscore-anyref-pegasus-cnndm-default_recall,0.568,0.473,0.514,0.472
bertscore-anyref-pegasus-cnndm-default_f1,0.429,0.386,0.433,0.394
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_precision,0.187,0.219,0.269,0.241
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_recall,0.57,0.473,0.513,0.47
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_f1,0.429,0.386,0.433,0.394
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_precision,0.187,0.219,0.269,0.241
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_recall,0.57,0.473,0.513,0.47
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_f1,0.429,0.386,0.433,0.394
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_precision,0.187,0.219,0.269,0.241
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_recall,0.57,0.473,0.513,0.47
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_f1,0.429,0.386,0.433,0.394
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_precision,0.187,0.219,0.269,0.241
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_recall,0.57,0.473,0.513,0.47
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_f1,0.429,0.386,0.433,0.394
bertscore-anyref-pegasus-cnndm-constant-16-32_precision,0.187,0.219,0.269,0.241
bertscore-anyref-pegasus-cnndm-constant-16-32_recall,0.57,0.473,0.513,0.47
bertscore-anyref-pegasus-cnndm-constant-16-32_f1,0.429,0.386,0.433,0.394
bertscore-anyref-pegasus-cnndm-constant-32-64_precision,0.187,0.219,0.269,0.241
bertscore-anyref-pegasus-cnndm-constant-32-64_recall,0.568,0.473,0.514,0.472
bertscore-anyref-pegasus-cnndm-constant-32-64_f1,0.429,0.386,0.433,0.394
rouge-anyref-pegasus-newsroom-default_rouge1,0.431,0.402,0.321,0.274
rouge-anyref-pegasus-newsroom-default_rouge2,0.373,0.354,0.298,0.24
rouge-anyref-pegasus-newsroom-default_rougeL,0.422,0.39,0.327,0.274
rouge-anyref-pegasus-newsroom-default_rougeLsum,0.422,0.39,0.327,0.274
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rouge1,0.348,0.353,0.265,0.217
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rouge2,0.335,0.346,0.26,0.217
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rougeL,0.342,0.348,0.261,0.237
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rougeLsum,0.342,0.348,0.261,0.237
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rouge1,0.348,0.353,0.265,0.217
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rouge2,0.335,0.346,0.26,0.217
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rougeL,0.342,0.348,0.261,0.237
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rougeLsum,0.342,0.348,0.261,0.237
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rouge1,0.348,0.353,0.265,0.217
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rouge2,0.335,0.346,0.26,0.217
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rougeL,0.342,0.348,0.261,0.237
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rougeLsum,0.342,0.348,0.261,0.237
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rouge1,0.348,0.353,0.265,0.217
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rouge2,0.335,0.346,0.26,0.217
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rougeL,0.342,0.348,0.261,0.237
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rougeLsum,0.342,0.348,0.261,0.237
rouge-anyref-pegasus-newsroom-constant-16-32_rouge1,0.348,0.353,0.265,0.217
rouge-anyref-pegasus-newsroom-constant-16-32_rouge2,0.335,0.346,0.26,0.217
rouge-anyref-pegasus-newsroom-constant-16-32_rougeL,0.342,0.348,0.261,0.237
rouge-anyref-pegasus-newsroom-constant-16-32_rougeLsum,0.342,0.348,0.261,0.237
rouge-anyref-pegasus-newsroom-constant-32-64_rouge1,0.431,0.402,0.321,0.274
rouge-anyref-pegasus-newsroom-constant-32-64_rouge2,0.373,0.354,0.298,0.24
rouge-anyref-pegasus-newsroom-constant-32-64_rougeL,0.422,0.39,0.327,0.274
rouge-anyref-pegasus-newsroom-constant-32-64_rougeLsum,0.422,0.39,0.327,0.274
rouge-anyref-pegasus-cnndm-default_rouge1,0.48,0.424,0.398,0.343
rouge-anyref-pegasus-cnndm-default_rouge2,0.434,0.349,0.319,0.303
rouge-anyref-pegasus-cnndm-default_rougeL,0.436,0.383,0.362,0.302
rouge-anyref-pegasus-cnndm-default_rougeLsum,0.436,0.383,0.362,0.302
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rouge1,0.48,0.424,0.398,0.343
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rouge2,0.434,0.349,0.319,0.303
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rougeL,0.436,0.383,0.362,0.302
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rougeLsum,0.436,0.383,0.362,0.302
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rouge1,0.48,0.424,0.398,0.343
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rouge2,0.434,0.349,0.319,0.303
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rougeL,0.436,0.383,0.362,0.302
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rougeLsum,0.436,0.383,0.362,0.302
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rouge1,0.48,0.424,0.398,0.343
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rouge2,0.434,0.349,0.319,0.303
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rougeL,0.436,0.383,0.362,0.302
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rougeLsum,0.436,0.383,0.362,0.302
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rouge1,0.48,0.424,0.398,0.343
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rouge2,0.434,0.349,0.319,0.303
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rougeL,0.436,0.383,0.362,0.302
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rougeLsum,0.436,0.383,0.362,0.302
rouge-anyref-pegasus-cnndm-constant-16-32_rouge1,0.48,0.424,0.398,0.343
rouge-anyref-pegasus-cnndm-constant-16-32_rouge2,0.434,0.349,0.319,0.303
rouge-anyref-pegasus-cnndm-constant-16-32_rougeL,0.436,0.383,0.362,0.302
rouge-anyref-pegasus-cnndm-constant-16-32_rougeLsum,0.436,0.383,0.362,0.302
rouge-anyref-pegasus-cnndm-constant-32-64_rouge1,0.48,0.424,0.398,0.343
rouge-anyref-pegasus-cnndm-constant-32-64_rouge2,0.434,0.349,0.319,0.303
rouge-anyref-pegasus-cnndm-constant-32-64_rougeL,0.436,0.383,0.362,0.302
rouge-anyref-pegasus-cnndm-constant-32-64_rougeLsum,0.436,0.383,0.362,0.302
bleurt-anyref-pegasus-newsroom-default_scores,0.357,0.346,0.288,0.242
bleurt-anyref-pegasus-newsroom-min-0.2-0.5_scores,0.34,0.331,0.273,0.222
bleurt-anyref-pegasus-newsroom-min-0.5-0.7_scores,0.34,0.331,0.273,0.222
bleurt-anyref-pegasus-newsroom-mean-0.2-0.5_scores,0.34,0.331,0.273,0.222
bleurt-anyref-pegasus-newsroom-mean-0.5-0.7_scores,0.34,0.331,0.273,0.222
bleurt-anyref-pegasus-newsroom-constant-16-32_scores,0.34,0.331,0.273,0.222
bleurt-anyref-pegasus-newsroom-constant-32-64_scores,0.357,0.346,0.288,0.242
bleurt-anyref-pegasus-cnndm-default_scores,0.4,0.363,0.325,0.317
bleurt-anyref-pegasus-cnndm-min-0.2-0.5_scores,0.402,0.363,0.327,0.319
bleurt-anyref-pegasus-cnndm-min-0.5-0.7_scores,0.402,0.363,0.327,0.319
bleurt-anyref-pegasus-cnndm-mean-0.2-0.5_scores,0.402,0.363,0.327,0.319
bleurt-anyref-pegasus-cnndm-mean-0.5-0.7_scores,0.402,0.363,0.327,0.319
bleurt-anyref-pegasus-cnndm-constant-16-32_scores,0.402,0.363,0.327,0.319
bleurt-anyref-pegasus-cnndm-constant-32-64_scores,0.4,0.363,0.325,0.317
bertscore-sentence-pagerank-cos-mpnet-entropy_P,0.487,0.464,0.524,0.5
bertscore-sentence-pagerank-cos-mpnet-entropy_R,0.547,0.477,0.469,0.441
bertscore-sentence-pagerank-cos-mpnet-entropy_F,0.572,0.5,0.498,0.494
bertscore-sentence-pagerank-cos-mpnet-sum_P,0.487,0.489,0.544,0.512
bertscore-sentence-pagerank-cos-mpnet-sum_R,0.586,0.504,0.518,0.5
bertscore-sentence-pagerank-cos-mpnet-sum_F,0.587,0.514,0.57,0.554
bertscore-sentence-pagerank-mnli-deberta-xlarge-entail_contradict-entropy_P,0.289,0.334,0.359,0.372
bertscore-sentence-pagerank-mnli-deberta-xlarge-entail_contradict-entropy_R,0.165,0.151,0.204,0.173
bertscore-sentence-pagerank-mnli-deberta-xlarge-entail_contradict-entropy_F,-0.068,-0.065,-0.033,-0.03
bertscore-sentence-pagerank-mnli-deberta-xlarge-entail_contradict-sum_P,0.304,0.326,0.365,0.368
bertscore-sentence-pagerank-mnli-deberta-xlarge-entail_contradict-sum_R,0.042,0.027,0.045,0.036
bertscore-sentence-pagerank-mnli-deberta-xlarge-entail_contradict-sum_F,0.057,0.035,0.037,0.048
bertscore-sentence-mnli-roberta-entail_contradict-topk-5_P,0.262,0.264,0.291,0.289
bertscore-sentence-mnli-roberta-entail_contradict-topk-5_R,0.358,0.269,0.327,0.305
bertscore-sentence-mnli-roberta-entail_contradict-topk-5_F,0.292,0.242,0.303,0.281
bertscore-sentence-mnli-roberta-entail_contradict-topk-10_P,0.261,0.273,0.291,0.29
bertscore-sentence-mnli-roberta-entail_contradict-topk-10_R,0.331,0.251,0.32,0.311
bertscore-sentence-mnli-roberta-entail_contradict-topk-10_F,0.292,0.236,0.289,0.25
bertscore-sentence-mnli-roberta-entail_contradict-topk-20_P,0.294,0.299,0.324,0.319
bertscore-sentence-mnli-roberta-entail_contradict-topk-20_R,0.327,0.256,0.323,0.317
bertscore-sentence-mnli-roberta-entail_contradict-topk-20_F,0.25,0.203,0.246,0.206
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.2_P,0.25,0.266,0.28,0.283
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.2_R,0.353,0.278,0.33,0.32
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.2_F,0.307,0.243,0.307,0.283
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.5_P,0.279,0.279,0.295,0.301
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.5_R,0.338,0.26,0.327,0.317
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.5_F,0.302,0.255,0.291,0.252
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.7_P,0.285,0.324,0.307,0.323
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.7_R,0.336,0.259,0.314,0.3
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.7_F,0.289,0.241,0.281,0.242
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topk-5_P,0.326,0.32,0.336,0.306
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topk-5_R,0.421,0.334,0.382,0.326
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topk-5_F,0.359,0.295,0.334,0.276
