,InformativenessRating,RelevanceRating,CoherenceRating,FluencyRating
rouge-anyref-bart-mean-0.5-0.7_rouge2,0.153,0.14,-0.036,-0.169
rouge-anyref-bart-mean-0.5-0.7_rougeL,0.133,0.15,-0.058,-0.19
rouge-anyref-bart-mean-0.5-0.7_rougeLsum,0.133,0.15,-0.058,-0.19
rouge-anyref-bart-constant-16-32_rouge1,0.235,0.255,0.052,-0.08
rouge-anyref-bart-constant-16-32_rouge2,0.153,0.14,-0.036,-0.169
rouge-anyref-bart-constant-16-32_rougeL,0.132,0.149,-0.058,-0.189
rouge-anyref-bart-constant-16-32_rougeLsum,0.132,0.149,-0.058,-0.189
rouge-anyref-bart-constant-32-64_rouge1,0.229,0.243,0.058,-0.072
rouge-anyref-bart-constant-32-64_rouge2,0.159,0.139,-0.022,-0.151
rouge-anyref-bart-constant-32-64_rougeL,0.139,0.149,-0.043,-0.17
rouge-anyref-bart-constant-32-64_rougeLsum,0.139,0.149,-0.043,-0.17
rouge-anyref-pegasus-xsum-default_rouge1,0.121,0.216,0.039,-0.093
rouge-anyref-pegasus-xsum-default_rouge2,0.155,0.228,0.039,-0.111
rouge-anyref-pegasus-xsum-default_rougeL,0.124,0.215,0.015,-0.116
rouge-anyref-pegasus-xsum-default_rougeLsum,0.124,0.215,0.015,-0.116
rouge-anyref-pegasus-xsum-min-0.2-0.5_rouge1,0.121,0.216,0.039,-0.093
rouge-anyref-pegasus-xsum-min-0.2-0.5_rouge2,0.155,0.228,0.039,-0.111
rouge-anyref-pegasus-xsum-min-0.2-0.5_rougeL,0.124,0.215,0.015,-0.116
rouge-anyref-pegasus-xsum-min-0.2-0.5_rougeLsum,0.124,0.215,0.015,-0.116
rouge-anyref-pegasus-xsum-min-0.5-0.7_rouge1,0.121,0.216,0.039,-0.093
rouge-anyref-pegasus-xsum-min-0.5-0.7_rouge2,0.155,0.228,0.039,-0.111
rouge-anyref-pegasus-xsum-min-0.5-0.7_rougeL,0.124,0.215,0.015,-0.116
rouge-anyref-pegasus-xsum-min-0.5-0.7_rougeLsum,0.124,0.215,0.015,-0.116
rouge-anyref-pegasus-xsum-mean-0.2-0.5_rouge1,0.121,0.216,0.039,-0.093
rouge-anyref-pegasus-xsum-mean-0.2-0.5_rouge2,0.155,0.228,0.039,-0.111
rouge-anyref-pegasus-xsum-mean-0.2-0.5_rougeL,0.124,0.215,0.015,-0.116
rouge-anyref-pegasus-xsum-mean-0.2-0.5_rougeLsum,0.124,0.215,0.015,-0.116
rouge-anyref-pegasus-xsum-mean-0.5-0.7_rouge1,0.121,0.216,0.039,-0.093
rouge-anyref-pegasus-xsum-mean-0.5-0.7_rouge2,0.155,0.228,0.039,-0.111
rouge-anyref-pegasus-xsum-mean-0.5-0.7_rougeL,0.124,0.215,0.015,-0.116
rouge-anyref-pegasus-xsum-mean-0.5-0.7_rougeLsum,0.124,0.215,0.015,-0.116
rouge-anyref-pegasus-xsum-constant-16-32_rouge1,0.142,0.238,0.01,-0.11
rouge-anyref-pegasus-xsum-constant-16-32_rouge2,0.181,0.219,0.022,-0.134
rouge-anyref-pegasus-xsum-constant-16-32_rougeL,0.164,0.236,0.0,-0.125
rouge-anyref-pegasus-xsum-constant-16-32_rougeLsum,0.164,0.236,0.0,-0.125
rouge-anyref-pegasus-xsum-constant-32-64_rouge1,0.207,0.267,0.044,-0.096
rouge-anyref-pegasus-xsum-constant-32-64_rouge2,0.198,0.236,0.006,-0.134
rouge-anyref-pegasus-xsum-constant-32-64_rougeL,0.197,0.263,0.015,-0.115
rouge-anyref-pegasus-xsum-constant-32-64_rougeLsum,0.197,0.263,0.015,-0.115
bleurt-anyref-bart-default_scores,0.188,0.079,0.001,-0.144
bleurt-anyref-bart-min-0.2-0.5_scores,0.166,0.082,-0.013,-0.152
bleurt-anyref-bart-min-0.5-0.7_scores,0.166,0.082,-0.013,-0.152
bleurt-anyref-bart-mean-0.2-0.5_scores,0.166,0.082,-0.013,-0.152
bleurt-anyref-bart-mean-0.5-0.7_scores,0.166,0.082,-0.013,-0.152
bleurt-anyref-bart-constant-16-32_scores,0.166,0.082,-0.013,-0.152
bleurt-anyref-bart-constant-32-64_scores,0.186,0.095,0.007,-0.129
bleurt-anyref-pegasus-xsum-default_scores,0.064,0.159,-0.019,-0.11
bleurt-anyref-pegasus-xsum-min-0.2-0.5_scores,0.064,0.159,-0.019,-0.11
bleurt-anyref-pegasus-xsum-min-0.5-0.7_scores,0.064,0.159,-0.019,-0.11
bleurt-anyref-pegasus-xsum-mean-0.2-0.5_scores,0.064,0.159,-0.019,-0.11
bleurt-anyref-pegasus-xsum-mean-0.5-0.7_scores,0.064,0.159,-0.019,-0.11
bleurt-anyref-pegasus-xsum-constant-16-32_scores,0.141,0.19,0.008,-0.105
bleurt-anyref-pegasus-xsum-constant-32-64_scores,0.175,0.252,0.028,-0.108
bertscore-anyref-pegasus-newsroom-default_precision,0.425,0.46,0.326,0.18
bertscore-anyref-pegasus-newsroom-default_recall,0.513,0.51,0.262,0.15
bertscore-anyref-pegasus-newsroom-default_f1,0.518,0.537,0.323,0.18
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_precision,0.419,0.451,0.338,0.248
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_recall,0.598,0.492,0.331,0.24
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_f1,0.59,0.544,0.384,0.28
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_precision,0.419,0.451,0.338,0.248
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_recall,0.598,0.492,0.331,0.24
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_f1,0.59,0.544,0.384,0.28
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_precision,0.419,0.451,0.338,0.248
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_recall,0.598,0.492,0.331,0.24
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_f1,0.59,0.544,0.384,0.28
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_precision,0.419,0.451,0.338,0.248
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_recall,0.598,0.492,0.331,0.24
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_f1,0.59,0.544,0.384,0.28
bertscore-anyref-pegasus-newsroom-constant-16-32_precision,0.419,0.451,0.339,0.248
bertscore-anyref-pegasus-newsroom-constant-16-32_recall,0.597,0.492,0.33,0.24
bertscore-anyref-pegasus-newsroom-constant-16-32_f1,0.589,0.544,0.383,0.279
bertscore-anyref-pegasus-newsroom-constant-32-64_precision,0.425,0.46,0.326,0.18
bertscore-anyref-pegasus-newsroom-constant-32-64_recall,0.513,0.51,0.262,0.15
bertscore-anyref-pegasus-newsroom-constant-32-64_f1,0.518,0.537,0.323,0.18
bertscore-anyref-pegasus-cnndm-default_precision,0.404,0.442,0.188,0.091
bertscore-anyref-pegasus-cnndm-default_recall,0.331,0.352,0.126,0.045
bertscore-anyref-pegasus-cnndm-default_f1,0.405,0.438,0.171,0.073
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_precision,0.406,0.442,0.19,0.094
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_recall,0.337,0.35,0.137,0.058
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_f1,0.41,0.437,0.179,0.082
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_precision,0.406,0.442,0.19,0.094
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_recall,0.337,0.35,0.137,0.058
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_f1,0.41,0.437,0.179,0.082
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_precision,0.406,0.442,0.19,0.094
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_recall,0.337,0.35,0.137,0.058
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_f1,0.41,0.437,0.179,0.082
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_precision,0.406,0.442,0.19,0.094
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_recall,0.337,0.35,0.137,0.058
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_f1,0.41,0.437,0.179,0.082
bertscore-anyref-pegasus-cnndm-constant-16-32_precision,0.406,0.442,0.19,0.094
bertscore-anyref-pegasus-cnndm-constant-16-32_recall,0.337,0.35,0.137,0.058
bertscore-anyref-pegasus-cnndm-constant-16-32_f1,0.41,0.437,0.179,0.082
bertscore-anyref-pegasus-cnndm-constant-32-64_precision,0.404,0.442,0.188,0.091
bertscore-anyref-pegasus-cnndm-constant-32-64_recall,0.331,0.352,0.126,0.045
bertscore-anyref-pegasus-cnndm-constant-32-64_f1,0.405,0.438,0.171,0.073
rouge-anyref-pegasus-newsroom-default_rouge1,0.363,0.356,0.255,0.043
rouge-anyref-pegasus-newsroom-default_rouge2,0.329,0.331,0.215,0.023
rouge-anyref-pegasus-newsroom-default_rougeL,0.341,0.338,0.21,0.01
rouge-anyref-pegasus-newsroom-default_rougeLsum,0.341,0.338,0.21,0.01
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rouge1,0.378,0.394,0.261,0.124
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rouge2,0.358,0.36,0.228,0.094
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rougeL,0.374,0.374,0.228,0.092
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rougeLsum,0.374,0.374,0.228,0.092
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rouge1,0.378,0.394,0.261,0.124
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rouge2,0.358,0.36,0.228,0.094
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rougeL,0.374,0.374,0.228,0.092
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rougeLsum,0.374,0.374,0.228,0.092
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rouge1,0.378,0.394,0.261,0.124
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rouge2,0.358,0.36,0.228,0.094
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rougeL,0.374,0.374,0.228,0.092
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rougeLsum,0.374,0.374,0.228,0.092
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rouge1,0.378,0.394,0.261,0.124
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rouge2,0.358,0.36,0.228,0.094
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rougeL,0.374,0.374,0.228,0.092
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rougeLsum,0.374,0.374,0.228,0.092
rouge-anyref-pegasus-newsroom-constant-16-32_rouge1,0.377,0.394,0.26,0.124
rouge-anyref-pegasus-newsroom-constant-16-32_rouge2,0.358,0.36,0.228,0.094
rouge-anyref-pegasus-newsroom-constant-16-32_rougeL,0.373,0.374,0.228,0.092
rouge-anyref-pegasus-newsroom-constant-16-32_rougeLsum,0.373,0.374,0.228,0.092
rouge-anyref-pegasus-newsroom-constant-32-64_rouge1,0.363,0.356,0.255,0.043
rouge-anyref-pegasus-newsroom-constant-32-64_rouge2,0.329,0.331,0.215,0.023
rouge-anyref-pegasus-newsroom-constant-32-64_rougeL,0.341,0.338,0.21,0.01
rouge-anyref-pegasus-newsroom-constant-32-64_rougeLsum,0.341,0.338,0.21,0.01
rouge-anyref-pegasus-cnndm-default_rouge1,0.282,0.311,0.118,-0.085
rouge-anyref-pegasus-cnndm-default_rouge2,0.219,0.203,0.065,-0.088
rouge-anyref-pegasus-cnndm-default_rougeL,0.203,0.237,0.052,-0.121
rouge-anyref-pegasus-cnndm-default_rougeLsum,0.203,0.237,0.052,-0.121
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rouge1,0.281,0.311,0.115,-0.089
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rouge2,0.22,0.203,0.066,-0.086
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rougeL,0.204,0.237,0.054,-0.119
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rougeLsum,0.204,0.237,0.054,-0.119
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rouge1,0.281,0.311,0.115,-0.089
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rouge2,0.22,0.203,0.066,-0.086
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rougeL,0.204,0.237,0.054,-0.119
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rougeLsum,0.204,0.237,0.054,-0.119
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rouge1,0.281,0.311,0.115,-0.089
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rouge2,0.22,0.203,0.066,-0.086
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rougeL,0.204,0.237,0.054,-0.119
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rougeLsum,0.204,0.237,0.054,-0.119
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rouge1,0.281,0.311,0.115,-0.089
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rouge2,0.22,0.203,0.066,-0.086
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rougeL,0.204,0.237,0.054,-0.119
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rougeLsum,0.204,0.237,0.054,-0.119
rouge-anyref-pegasus-cnndm-constant-16-32_rouge1,0.281,0.311,0.115,-0.089
rouge-anyref-pegasus-cnndm-constant-16-32_rouge2,0.22,0.203,0.066,-0.086
