,consistency,relevance,coherence,fluency
rouge-topp-0.7_rouge2,0.126,0.225,0.183,0.18
rouge-topp-0.7_rougeL,0.111,0.217,0.18,0.177
rouge-topp-0.7_rougeLsum,0.111,0.217,0.18,0.177
bleurt_scores,0.229,0.364,0.279,0.143
bleurt-topk-5_scores,0.195,0.368,0.263,0.089
bleurt-topk-10_scores,0.262,0.454,0.317,0.108
bleurt-topk-20_scores,0.232,0.364,0.279,0.143
bleurt-topp-0.2_scores,0.281,0.48,0.343,0.126
bleurt-topp-0.5_scores,0.213,0.403,0.299,0.164
bleurt-topp-0.7_scores,0.271,0.379,0.293,0.148
bertscore-sentence-mnli-roberta-not_neutral_P,0.185,0.025,0.035,0.096
bertscore-sentence-mnli-roberta-not_neutral_R,-0.206,-0.255,-0.213,-0.097
bertscore-sentence-mnli-roberta-not_neutral_F,-0.173,-0.236,-0.187,-0.093
bertscore-sentence-mnli-roberta-entail_only_P,0.33,0.215,0.18,0.134
bertscore-sentence-mnli-roberta-entail_only_R,0.018,0.033,0.017,0.002
bertscore-sentence-mnli-roberta-entail_only_F,0.042,0.052,0.039,0.018
bertscore-sentence-mnli-roberta-entail_contradict_P,0.346,0.238,0.204,0.145
bertscore-sentence-mnli-roberta-entail_contradict_R,0.123,0.15,0.127,0.062
bertscore-sentence-mnli-roberta-entail_contradict_F,0.165,0.172,0.151,0.089
bertscore-sentence-mnli-bart-not_neutral_P,0.144,-0.081,-0.05,0.137
bertscore-sentence-mnli-bart-not_neutral_R,-0.044,-0.173,-0.104,0.025
bertscore-sentence-mnli-bart-not_neutral_F,-0.023,-0.161,-0.096,0.042
bertscore-sentence-mnli-bart-entail_only_P,0.298,0.209,0.154,0.156
bertscore-sentence-mnli-bart-entail_only_R,0.069,0.066,0.048,0.088
bertscore-sentence-mnli-bart-entail_only_F,0.087,0.071,0.053,0.097
bertscore-sentence-mnli-bart-entail_contradict_P,0.312,0.229,0.17,0.169
bertscore-sentence-mnli-bart-entail_contradict_R,0.102,0.135,0.106,0.137
bertscore-sentence-mnli-bart-entail_contradict_F,0.122,0.168,0.114,0.177
bertscore-sentence-mnli-deberta-not_neutral_P,0.158,0.058,0.004,0.104
bertscore-sentence-mnli-deberta-not_neutral_R,-0.136,-0.236,-0.193,-0.04
bertscore-sentence-mnli-deberta-not_neutral_F,-0.115,-0.224,-0.185,-0.024
bertscore-sentence-mnli-deberta-entail_only_P,0.283,0.27,0.195,0.115
bertscore-sentence-mnli-deberta-entail_only_R,0.05,0.044,0.029,0.071
bertscore-sentence-mnli-deberta-entail_only_F,0.062,0.051,0.027,0.076
bertscore-sentence-mnli-deberta-entail_contradict_P,0.307,0.288,0.205,0.115
bertscore-sentence-mnli-deberta-entail_contradict_R,0.09,0.12,0.089,0.095
bertscore-sentence-mnli-deberta-entail_contradict_F,0.096,0.131,0.099,0.071
bertscore-anyref-bart-default_precision,0.272,0.38,0.311,0.13
bertscore-anyref-bart-default_recall,0.209,0.382,0.33,0.101
bertscore-anyref-bart-default_f1,0.257,0.396,0.337,0.125
bertscore-anyref-bart-min-0.2-0.5_precision,0.289,0.405,0.329,0.132
bertscore-anyref-bart-min-0.2-0.5_recall,0.23,0.28,0.273,0.132
bertscore-anyref-bart-min-0.2-0.5_f1,0.282,0.357,0.325,0.139
bertscore-anyref-bart-min-0.5-0.7_precision,0.289,0.405,0.329,0.132
bertscore-anyref-bart-min-0.5-0.7_recall,0.23,0.28,0.273,0.132
bertscore-anyref-bart-min-0.5-0.7_f1,0.282,0.357,0.325,0.139
bertscore-anyref-bart-mean-0.2-0.5_precision,0.289,0.405,0.329,0.132
bertscore-anyref-bart-mean-0.2-0.5_recall,0.23,0.28,0.273,0.132
bertscore-anyref-bart-mean-0.2-0.5_f1,0.282,0.357,0.325,0.139
bertscore-anyref-bart-mean-0.5-0.7_precision,0.289,0.405,0.329,0.132
bertscore-anyref-bart-mean-0.5-0.7_recall,0.23,0.28,0.273,0.132
bertscore-anyref-bart-mean-0.5-0.7_f1,0.282,0.357,0.325,0.139
bertscore-anyref-bart-constant-16-32_precision,0.289,0.405,0.329,0.132
bertscore-anyref-bart-constant-16-32_recall,0.23,0.28,0.273,0.132
bertscore-anyref-bart-constant-16-32_f1,0.282,0.357,0.325,0.139
bertscore-anyref-bart-constant-32-64_precision,0.291,0.397,0.327,0.14
bertscore-anyref-bart-constant-32-64_recall,0.217,0.293,0.275,0.118
bertscore-anyref-bart-constant-32-64_f1,0.279,0.362,0.32,0.136
bertscore-anyref-pegasus-xsum-default_precision,-0.009,0.143,0.033,-0.023
bertscore-anyref-pegasus-xsum-default_recall,0.007,0.089,0.032,-0.047
bertscore-anyref-pegasus-xsum-default_f1,0.011,0.128,0.022,-0.03
bertscore-anyref-pegasus-xsum-min-0.2-0.5_precision,-0.009,0.143,0.033,-0.023
bertscore-anyref-pegasus-xsum-min-0.2-0.5_recall,0.007,0.089,0.032,-0.047
bertscore-anyref-pegasus-xsum-min-0.2-0.5_f1,0.011,0.128,0.022,-0.03
bertscore-anyref-pegasus-xsum-min-0.5-0.7_precision,-0.009,0.143,0.033,-0.023
bertscore-anyref-pegasus-xsum-min-0.5-0.7_recall,0.007,0.089,0.032,-0.047
bertscore-anyref-pegasus-xsum-min-0.5-0.7_f1,0.011,0.128,0.022,-0.03
bertscore-anyref-pegasus-xsum-mean-0.2-0.5_precision,-0.009,0.143,0.033,-0.023
bertscore-anyref-pegasus-xsum-mean-0.2-0.5_recall,0.007,0.089,0.032,-0.047
bertscore-anyref-pegasus-xsum-mean-0.2-0.5_f1,0.011,0.128,0.022,-0.03
bertscore-anyref-pegasus-xsum-mean-0.5-0.7_precision,-0.009,0.143,0.033,-0.023
bertscore-anyref-pegasus-xsum-mean-0.5-0.7_recall,0.007,0.089,0.032,-0.047
bertscore-anyref-pegasus-xsum-mean-0.5-0.7_f1,0.011,0.128,0.022,-0.03
bertscore-anyref-pegasus-xsum-constant-16-32_precision,0.147,0.249,0.198,0.128
bertscore-anyref-pegasus-xsum-constant-16-32_recall,0.128,0.195,0.175,0.043
bertscore-anyref-pegasus-xsum-constant-16-32_f1,0.154,0.249,0.196,0.067
bertscore-anyref-pegasus-xsum-constant-32-64_precision,0.09,0.115,0.123,-0.032
bertscore-anyref-pegasus-xsum-constant-32-64_recall,0.081,0.197,0.195,-0.055
bertscore-anyref-pegasus-xsum-constant-32-64_f1,0.1,0.173,0.169,-0.046
rouge-anyref-bart-default_rouge1,0.215,0.328,0.292,0.105
rouge-anyref-bart-default_rouge2,0.213,0.315,0.286,0.093
rouge-anyref-bart-default_rougeL,0.215,0.319,0.288,0.092
rouge-anyref-bart-default_rougeLsum,0.215,0.319,0.288,0.092
rouge-anyref-bart-min-0.2-0.5_rouge1,0.225,0.315,0.29,0.122
rouge-anyref-bart-min-0.2-0.5_rouge2,0.228,0.289,0.277,0.103
rouge-anyref-bart-min-0.2-0.5_rougeL,0.237,0.302,0.282,0.116
rouge-anyref-bart-min-0.2-0.5_rougeLsum,0.237,0.302,0.282,0.116
rouge-anyref-bart-min-0.5-0.7_rouge1,0.225,0.315,0.29,0.122
rouge-anyref-bart-min-0.5-0.7_rouge2,0.228,0.289,0.277,0.103
rouge-anyref-bart-min-0.5-0.7_rougeL,0.237,0.302,0.282,0.116
rouge-anyref-bart-min-0.5-0.7_rougeLsum,0.237,0.302,0.282,0.116
rouge-anyref-bart-mean-0.2-0.5_rouge1,0.225,0.315,0.29,0.122
rouge-anyref-bart-mean-0.2-0.5_rouge2,0.228,0.289,0.277,0.103
rouge-anyref-bart-mean-0.2-0.5_rougeL,0.237,0.302,0.282,0.116
rouge-anyref-bart-mean-0.2-0.5_rougeLsum,0.237,0.302,0.282,0.116
rouge-anyref-bart-mean-0.5-0.7_rouge1,0.225,0.315,0.29,0.122
rouge-anyref-bart-mean-0.5-0.7_rouge2,0.228,0.289,0.277,0.103
rouge-anyref-bart-mean-0.5-0.7_rougeL,0.237,0.302,0.282,0.116
rouge-anyref-bart-mean-0.5-0.7_rougeLsum,0.237,0.302,0.282,0.116
rouge-anyref-bart-constant-16-32_rouge1,0.225,0.315,0.29,0.122
rouge-anyref-bart-constant-16-32_rouge2,0.228,0.289,0.277,0.103
rouge-anyref-bart-constant-16-32_rougeL,0.237,0.302,0.282,0.116
rouge-anyref-bart-constant-16-32_rougeLsum,0.237,0.302,0.282,0.116
rouge-anyref-bart-constant-32-64_rouge1,0.224,0.315,0.292,0.124
rouge-anyref-bart-constant-32-64_rouge2,0.222,0.289,0.274,0.102
rouge-anyref-bart-constant-32-64_rougeL,0.236,0.302,0.281,0.115
rouge-anyref-bart-constant-32-64_rougeLsum,0.236,0.302,0.281,0.115
rouge-anyref-pegasus-xsum-default_rouge1,-0.041,0.061,-0.036,-0.035
rouge-anyref-pegasus-xsum-default_rouge2,-0.052,0.057,-0.029,-0.031
rouge-anyref-pegasus-xsum-default_rougeL,-0.053,0.048,-0.041,-0.042
rouge-anyref-pegasus-xsum-default_rougeLsum,-0.053,0.048,-0.041,-0.042
rouge-anyref-pegasus-xsum-min-0.2-0.5_rouge1,-0.041,0.061,-0.036,-0.035
rouge-anyref-pegasus-xsum-min-0.2-0.5_rouge2,-0.052,0.057,-0.029,-0.031
rouge-anyref-pegasus-xsum-min-0.2-0.5_rougeL,-0.053,0.048,-0.041,-0.042
rouge-anyref-pegasus-xsum-min-0.2-0.5_rougeLsum,-0.053,0.048,-0.041,-0.042
rouge-anyref-pegasus-xsum-min-0.5-0.7_rouge1,-0.041,0.061,-0.036,-0.035
rouge-anyref-pegasus-xsum-min-0.5-0.7_rouge2,-0.052,0.057,-0.029,-0.031
rouge-anyref-pegasus-xsum-min-0.5-0.7_rougeL,-0.053,0.048,-0.041,-0.042
rouge-anyref-pegasus-xsum-min-0.5-0.7_rougeLsum,-0.053,0.048,-0.041,-0.042
rouge-anyref-pegasus-xsum-mean-0.2-0.5_rouge1,-0.041,0.061,-0.036,-0.035
rouge-anyref-pegasus-xsum-mean-0.2-0.5_rouge2,-0.052,0.057,-0.029,-0.031
rouge-anyref-pegasus-xsum-mean-0.2-0.5_rougeL,-0.053,0.048,-0.041,-0.042
rouge-anyref-pegasus-xsum-mean-0.2-0.5_rougeLsum,-0.053,0.048,-0.041,-0.042
rouge-anyref-pegasus-xsum-mean-0.5-0.7_rouge1,-0.041,0.061,-0.036,-0.035
rouge-anyref-pegasus-xsum-mean-0.5-0.7_rouge2,-0.052,0.057,-0.029,-0.031
rouge-anyref-pegasus-xsum-mean-0.5-0.7_rougeL,-0.053,0.048,-0.041,-0.042
rouge-anyref-pegasus-xsum-mean-0.5-0.7_rougeLsum,-0.053,0.048,-0.041,-0.042
rouge-anyref-pegasus-xsum-constant-16-32_rouge1,0.102,0.149,0.127,0.065
rouge-anyref-pegasus-xsum-constant-16-32_rouge2,0.08,0.136,0.132,0.056
rouge-anyref-pegasus-xsum-constant-16-32_rougeL,0.086,0.122,0.116,0.058
rouge-anyref-pegasus-xsum-constant-16-32_rougeLsum,0.086,0.122,0.116,0.058
rouge-anyref-pegasus-xsum-constant-32-64_rouge1,0.027,0.048,0.057,-0.053
rouge-anyref-pegasus-xsum-constant-32-64_rouge2,0.021,0.027,0.058,-0.07
rouge-anyref-pegasus-xsum-constant-32-64_rougeL,0.032,0.038,0.072,-0.045
rouge-anyref-pegasus-xsum-constant-32-64_rougeLsum,0.032,0.038,0.072,-0.045
bleurt-anyref-bart-default_scores,0.277,0.383,0.306,0.125
bleurt-anyref-bart-min-0.2-0.5_scores,0.304,0.327,0.273,0.156
bleurt-anyref-bart-min-0.5-0.7_scores,0.304,0.327,0.273,0.156
bleurt-anyref-bart-mean-0.2-0.5_scores,0.304,0.327,0.273,0.156
bleurt-anyref-bart-mean-0.5-0.7_scores,0.304,0.327,0.273,0.156
bleurt-anyref-bart-constant-16-32_scores,0.304,0.327,0.273,0.156
bleurt-anyref-bart-constant-32-64_scores,0.289,0.34,0.275,0.143
bleurt-anyref-pegasus-xsum-default_scores,-0.034,0.097,-0.013,-0.017
bleurt-anyref-pegasus-xsum-min-0.2-0.5_scores,-0.034,0.097,-0.013,-0.017
bleurt-anyref-pegasus-xsum-min-0.5-0.7_scores,-0.034,0.097,-0.013,-0.017
bleurt-anyref-pegasus-xsum-mean-0.2-0.5_scores,-0.034,0.097,-0.013,-0.017
bleurt-anyref-pegasus-xsum-mean-0.5-0.7_scores,-0.034,0.097,-0.013,-0.017
bleurt-anyref-pegasus-xsum-constant-16-32_scores,0.071,0.173,0.136,0.047
bleurt-anyref-pegasus-xsum-constant-32-64_scores,-0.007,0.097,0.108,0.017
bertscore-anyref-pegasus-newsroom-default_precision,0.143,0.115,0.063,0.029
bertscore-anyref-pegasus-newsroom-default_recall,0.081,0.301,0.237,0.099
bertscore-anyref-pegasus-newsroom-default_f1,0.179,0.274,0.185,0.088
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_precision,0.082,0.117,0.085,0.043
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_recall,0.065,0.105,0.102,0.062
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_f1,0.128,0.178,0.146,0.037
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_precision,0.082,0.117,0.085,0.043
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_recall,0.065,0.105,0.102,0.062
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_f1,0.128,0.178,0.146,0.037
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_precision,0.082,0.117,0.085,0.043
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_recall,0.065,0.105,0.102,0.062
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_f1,0.128,0.178,0.146,0.037
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_precision,0.082,0.117,0.085,0.043
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_recall,0.065,0.105,0.102,0.062
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_f1,0.128,0.178,0.146,0.037
bertscore-anyref-pegasus-newsroom-constant-16-32_precision,0.082,0.117,0.085,0.043
bertscore-anyref-pegasus-newsroom-constant-16-32_recall,0.065,0.105,0.102,0.062
bertscore-anyref-pegasus-newsroom-constant-16-32_f1,0.128,0.178,0.146,0.037
bertscore-anyref-pegasus-newsroom-constant-32-64_precision,0.143,0.115,0.063,0.029
bertscore-anyref-pegasus-newsroom-constant-32-64_recall,0.081,0.301,0.237,0.099
bertscore-anyref-pegasus-newsroom-constant-32-64_f1,0.179,0.274,0.185,0.088
bertscore-anyref-pegasus-cnndm-default_precision,0.204,0.383,0.304,0.121
bertscore-anyref-pegasus-cnndm-default_recall,0.113,0.29,0.316,0.077
bertscore-anyref-pegasus-cnndm-default_f1,0.171,0.381,0.335,0.112
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_precision,0.207,0.388,0.308,0.121
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_recall,0.124,0.3,0.334,0.076
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_f1,0.183,0.393,0.354,0.11
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_precision,0.207,0.388,0.308,0.121
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_recall,0.124,0.3,0.334,0.076
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_f1,0.183,0.393,0.354,0.11
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_precision,0.207,0.388,0.308,0.121
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_recall,0.124,0.3,0.334,0.076
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_f1,0.183,0.393,0.354,0.11
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_precision,0.207,0.388,0.308,0.121
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_recall,0.124,0.3,0.334,0.076
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_f1,0.183,0.393,0.354,0.11
bertscore-anyref-pegasus-cnndm-constant-16-32_precision,0.207,0.388,0.308,0.121
bertscore-anyref-pegasus-cnndm-constant-16-32_recall,0.124,0.3,0.334,0.076
bertscore-anyref-pegasus-cnndm-constant-16-32_f1,0.183,0.393,0.354,0.11
bertscore-anyref-pegasus-cnndm-constant-32-64_precision,0.204,0.383,0.304,0.121
bertscore-anyref-pegasus-cnndm-constant-32-64_recall,0.113,0.29,0.316,0.077
bertscore-anyref-pegasus-cnndm-constant-32-64_f1,0.171,0.381,0.335,0.112
rouge-anyref-pegasus-newsroom-default_rouge1,0.115,0.127,0.046,0.035
rouge-anyref-pegasus-newsroom-default_rouge2,0.11,0.125,0.058,0.042
rouge-anyref-pegasus-newsroom-default_rougeL,0.088,0.114,0.066,0.025
rouge-anyref-pegasus-newsroom-default_rougeLsum,0.088,0.114,0.066,0.025
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rouge1,-0.001,0.023,-0.009,-0.023
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rouge2,0.0,0.014,-0.009,-0.036
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rougeL,-0.014,0.017,-0.011,-0.053
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rougeLsum,-0.014,0.017,-0.011,-0.053
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rouge1,-0.001,0.023,-0.009,-0.023
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rouge2,0.0,0.014,-0.009,-0.036
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rougeL,-0.014,0.017,-0.011,-0.053
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rougeLsum,-0.014,0.017,-0.011,-0.053
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rouge1,-0.001,0.023,-0.009,-0.023
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rouge2,0.0,0.014,-0.009,-0.036
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rougeL,-0.014,0.017,-0.011,-0.053
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rougeLsum,-0.014,0.017,-0.011,-0.053
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rouge1,-0.001,0.023,-0.009,-0.023
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rouge2,0.0,0.014,-0.009,-0.036
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rougeL,-0.014,0.017,-0.011,-0.053
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rougeLsum,-0.014,0.017,-0.011,-0.053
rouge-anyref-pegasus-newsroom-constant-16-32_rouge1,-0.001,0.023,-0.009,-0.023
rouge-anyref-pegasus-newsroom-constant-16-32_rouge2,0.0,0.014,-0.009,-0.036
rouge-anyref-pegasus-newsroom-constant-16-32_rougeL,-0.014,0.017,-0.011,-0.053
rouge-anyref-pegasus-newsroom-constant-16-32_rougeLsum,-0.014,0.017,-0.011,-0.053
rouge-anyref-pegasus-newsroom-constant-32-64_rouge1,0.115,0.127,0.046,0.035
rouge-anyref-pegasus-newsroom-constant-32-64_rouge2,0.11,0.125,0.058,0.042
rouge-anyref-pegasus-newsroom-constant-32-64_rougeL,0.088,0.114,0.066,0.025
rouge-anyref-pegasus-newsroom-constant-32-64_rougeLsum,0.088,0.114,0.066,0.025
rouge-anyref-pegasus-cnndm-default_rouge1,0.139,0.343,0.281,0.131
rouge-anyref-pegasus-cnndm-default_rouge2,0.166,0.346,0.282,0.105
rouge-anyref-pegasus-cnndm-default_rougeL,0.213,0.377,0.334,0.072
rouge-anyref-pegasus-cnndm-default_rougeLsum,0.213,0.377,0.334,0.072
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rouge1,0.141,0.343,0.284,0.131
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rouge2,0.173,0.355,0.293,0.106
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rougeL,0.218,0.384,0.344,0.069
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rougeLsum,0.218,0.384,0.344,0.069
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rouge1,0.141,0.343,0.284,0.131
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rouge2,0.173,0.355,0.293,0.106
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rougeL,0.218,0.384,0.344,0.069
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rougeLsum,0.218,0.384,0.344,0.069
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rouge1,0.141,0.343,0.284,0.131
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rouge2,0.173,0.355,0.293,0.106
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rougeL,0.218,0.384,0.344,0.069
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rougeLsum,0.218,0.384,0.344,0.069
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rouge1,0.141,0.343,0.284,0.131
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rouge2,0.173,0.355,0.293,0.106
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rougeL,0.218,0.384,0.344,0.069
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rougeLsum,0.218,0.384,0.344,0.069
rouge-anyref-pegasus-cnndm-constant-16-32_rouge1,0.141,0.343,0.284,0.131
rouge-anyref-pegasus-cnndm-constant-16-32_rouge2,0.173,0.355,0.293,0.106
rouge-anyref-pegasus-cnndm-constant-16-32_rougeL,0.218,0.384,0.344,0.069
rouge-anyref-pegasus-cnndm-constant-16-32_rougeLsum,0.218,0.384,0.344,0.069
rouge-anyref-pegasus-cnndm-constant-32-64_rouge1,0.139,0.343,0.281,0.131
rouge-anyref-pegasus-cnndm-constant-32-64_rouge2,0.166,0.346,0.282,0.105
