,litepyramid_recall
bertscore-sentence-mnli-bart-entail_contradict_R,0.046
bertscore-sentence-mnli-bart-entail_contradict_F,0.049
bertscore-sentence-mnli-deberta-xlarge-not_neutral_P,0.042
bertscore-sentence-mnli-deberta-xlarge-not_neutral_R,0.01
bertscore-sentence-mnli-deberta-xlarge-not_neutral_F,0.013
bertscore-sentence-mnli-deberta-xlarge-entail_only_P,0.038
bertscore-sentence-mnli-deberta-xlarge-entail_only_R,0.006
bertscore-sentence-mnli-deberta-xlarge-entail_only_F,0.011
bertscore-sentence-mnli-deberta-xlarge-entail_contradict_P,0.035
bertscore-sentence-mnli-deberta-xlarge-entail_contradict_R,0.037
bertscore-sentence-mnli-deberta-xlarge-entail_contradict_F,0.037
bertscore-anyref-bart-default_precision,0.033
bertscore-anyref-bart-default_recall,0.117
bertscore-anyref-bart-default_f1,0.087
bertscore-anyref-bart-min-0.2-0.5_precision,0.042
bertscore-anyref-bart-min-0.2-0.5_recall,0.122
bertscore-anyref-bart-min-0.2-0.5_f1,0.096
bertscore-anyref-bart-min-0.5-0.7_precision,0.042
bertscore-anyref-bart-min-0.5-0.7_recall,0.122
bertscore-anyref-bart-min-0.5-0.7_f1,0.096
bertscore-anyref-bart-mean-0.2-0.5_precision,0.042
bertscore-anyref-bart-mean-0.2-0.5_recall,0.122
bertscore-anyref-bart-mean-0.2-0.5_f1,0.096
bertscore-anyref-bart-mean-0.5-0.7_precision,0.042
bertscore-anyref-bart-mean-0.5-0.7_recall,0.122
bertscore-anyref-bart-mean-0.5-0.7_f1,0.096
bertscore-anyref-bart-constant-16-32_precision,0.042
bertscore-anyref-bart-constant-16-32_recall,0.122
bertscore-anyref-bart-constant-16-32_f1,0.096
bertscore-anyref-bart-constant-32-64_precision,0.042
bertscore-anyref-bart-constant-32-64_recall,0.122
bertscore-anyref-bart-constant-32-64_f1,0.096
rouge-anyref-bart-default_rouge1,0.107
rouge-anyref-bart-default_rouge2,0.107
rouge-anyref-bart-default_rougeL,0.092
rouge-anyref-bart-default_rougeLsum,0.092
rouge-anyref-bart-min-0.2-0.5_rouge1,0.116
rouge-anyref-bart-min-0.2-0.5_rouge2,0.114
rouge-anyref-bart-min-0.2-0.5_rougeL,0.096
rouge-anyref-bart-min-0.2-0.5_rougeLsum,0.096
rouge-anyref-bart-min-0.5-0.7_rouge1,0.116
rouge-anyref-bart-min-0.5-0.7_rouge2,0.114
rouge-anyref-bart-min-0.5-0.7_rougeL,0.096
rouge-anyref-bart-min-0.5-0.7_rougeLsum,0.096
rouge-anyref-bart-mean-0.2-0.5_rouge1,0.116
rouge-anyref-bart-mean-0.2-0.5_rouge2,0.114
rouge-anyref-bart-mean-0.2-0.5_rougeL,0.096
rouge-anyref-bart-mean-0.2-0.5_rougeLsum,0.096
rouge-anyref-bart-mean-0.5-0.7_rouge1,0.116
rouge-anyref-bart-mean-0.5-0.7_rouge2,0.114
rouge-anyref-bart-mean-0.5-0.7_rougeL,0.096
rouge-anyref-bart-mean-0.5-0.7_rougeLsum,0.096
rouge-anyref-bart-constant-16-32_rouge1,0.116
rouge-anyref-bart-constant-16-32_rouge2,0.114
rouge-anyref-bart-constant-16-32_rougeL,0.096
rouge-anyref-bart-constant-16-32_rougeLsum,0.096
rouge-anyref-bart-constant-32-64_rouge1,0.116
rouge-anyref-bart-constant-32-64_rouge2,0.114
rouge-anyref-bart-constant-32-64_rougeL,0.096
rouge-anyref-bart-constant-32-64_rougeLsum,0.096
bleurt-anyref-bart-default_scores,0.116
bleurt-anyref-bart-min-0.2-0.5_scores,0.123
bleurt-anyref-bart-min-0.5-0.7_scores,0.123
bleurt-anyref-bart-mean-0.2-0.5_scores,0.123
bleurt-anyref-bart-mean-0.5-0.7_scores,0.123
bleurt-anyref-bart-constant-16-32_scores,0.123
bleurt-anyref-bart-constant-32-64_scores,0.123
bertscore-anyref-pegasus-newsroom-default_precision,-0.039
bertscore-anyref-pegasus-newsroom-default_recall,0.026
bertscore-anyref-pegasus-newsroom-default_f1,-0.017
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_precision,-0.027
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_recall,0.029
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_f1,-0.014
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_precision,-0.027
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_recall,0.029
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_f1,-0.014
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_precision,-0.027
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_recall,0.029
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_f1,-0.014
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_precision,-0.027
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_recall,0.029
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_f1,-0.014
bertscore-anyref-pegasus-newsroom-constant-16-32_precision,-0.022
bertscore-anyref-pegasus-newsroom-constant-16-32_recall,0.04
bertscore-anyref-pegasus-newsroom-constant-16-32_f1,-0.005
bertscore-anyref-pegasus-newsroom-constant-32-64_precision,-0.039
bertscore-anyref-pegasus-newsroom-constant-32-64_recall,0.026
bertscore-anyref-pegasus-newsroom-constant-32-64_f1,-0.017
bertscore-anyref-pegasus-cnndm-default_precision,0.019
bertscore-anyref-pegasus-cnndm-default_recall,0.081
bertscore-anyref-pegasus-cnndm-default_f1,0.069
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_precision,0.019
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_recall,0.081
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_f1,0.069
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_precision,0.019
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_recall,0.081
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_f1,0.069
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_precision,0.019
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_recall,0.081
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_f1,0.069
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_precision,0.019
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_recall,0.081
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_f1,0.069
bertscore-anyref-pegasus-cnndm-constant-16-32_precision,0.019
bertscore-anyref-pegasus-cnndm-constant-16-32_recall,0.081
bertscore-anyref-pegasus-cnndm-constant-16-32_f1,0.069
bertscore-anyref-pegasus-cnndm-constant-32-64_precision,0.019
bertscore-anyref-pegasus-cnndm-constant-32-64_recall,0.081
bertscore-anyref-pegasus-cnndm-constant-32-64_f1,0.069
rouge-anyref-pegasus-newsroom-default_rouge1,0.006
rouge-anyref-pegasus-newsroom-default_rouge2,-0.015
rouge-anyref-pegasus-newsroom-default_rougeL,0.012
rouge-anyref-pegasus-newsroom-default_rougeLsum,0.012
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rouge1,-0.014
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rouge2,-0.02
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rougeL,-0.0
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rougeLsum,-0.0
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rouge1,-0.014
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rouge2,-0.02
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rougeL,-0.0
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rougeLsum,-0.0
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rouge1,-0.014
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rouge2,-0.02
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rougeL,-0.0
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rougeLsum,-0.0
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rouge1,-0.014
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rouge2,-0.02
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rougeL,-0.0
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rougeLsum,-0.0
rouge-anyref-pegasus-newsroom-constant-16-32_rouge1,-0.002
rouge-anyref-pegasus-newsroom-constant-16-32_rouge2,-0.017
rouge-anyref-pegasus-newsroom-constant-16-32_rougeL,0.008
rouge-anyref-pegasus-newsroom-constant-16-32_rougeLsum,0.008
rouge-anyref-pegasus-newsroom-constant-32-64_rouge1,0.006
rouge-anyref-pegasus-newsroom-constant-32-64_rouge2,-0.015
rouge-anyref-pegasus-newsroom-constant-32-64_rougeL,0.012
rouge-anyref-pegasus-newsroom-constant-32-64_rougeLsum,0.012
rouge-anyref-pegasus-cnndm-default_rouge1,0.072
rouge-anyref-pegasus-cnndm-default_rouge2,0.077
rouge-anyref-pegasus-cnndm-default_rougeL,0.065
rouge-anyref-pegasus-cnndm-default_rougeLsum,0.065
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rouge1,0.072
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rouge2,0.077
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rougeL,0.065
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rougeLsum,0.065
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rouge1,0.072
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rouge2,0.077
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rougeL,0.065
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rougeLsum,0.065
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rouge1,0.072
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rouge2,0.077
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rougeL,0.065
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rougeLsum,0.065
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rouge1,0.072
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rouge2,0.077
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rougeL,0.065
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rougeLsum,0.065
rouge-anyref-pegasus-cnndm-constant-16-32_rouge1,0.072
rouge-anyref-pegasus-cnndm-constant-16-32_rouge2,0.077
rouge-anyref-pegasus-cnndm-constant-16-32_rougeL,0.065
rouge-anyref-pegasus-cnndm-constant-16-32_rougeLsum,0.065
rouge-anyref-pegasus-cnndm-constant-32-64_rouge1,0.072
rouge-anyref-pegasus-cnndm-constant-32-64_rouge2,0.077
rouge-anyref-pegasus-cnndm-constant-32-64_rougeL,0.065
rouge-anyref-pegasus-cnndm-constant-32-64_rougeLsum,0.065
bleurt-anyref-pegasus-newsroom-default_scores,0.016
bleurt-anyref-pegasus-newsroom-min-0.2-0.5_scores,0.001
bleurt-anyref-pegasus-newsroom-min-0.5-0.7_scores,0.001
bleurt-anyref-pegasus-newsroom-mean-0.2-0.5_scores,0.001
bleurt-anyref-pegasus-newsroom-mean-0.5-0.7_scores,0.001
bleurt-anyref-pegasus-newsroom-constant-16-32_scores,0.007
bleurt-anyref-pegasus-newsroom-constant-32-64_scores,0.016
bleurt-anyref-pegasus-cnndm-default_scores,0.083
bleurt-anyref-pegasus-cnndm-min-0.2-0.5_scores,0.083
bleurt-anyref-pegasus-cnndm-min-0.5-0.7_scores,0.083
bleurt-anyref-pegasus-cnndm-mean-0.2-0.5_scores,0.083
bleurt-anyref-pegasus-cnndm-mean-0.5-0.7_scores,0.083
bleurt-anyref-pegasus-cnndm-constant-16-32_scores,0.083
bleurt-anyref-pegasus-cnndm-constant-32-64_scores,0.083
bertscore-sentence-pagerank-cos-mpnet-entropy_P,-0.004
bertscore-sentence-pagerank-cos-mpnet-entropy_R,0.063
bertscore-sentence-pagerank-cos-mpnet-entropy_F,0.048
bertscore-sentence-pagerank-cos-mpnet-sum_P,-0.011
bertscore-sentence-pagerank-cos-mpnet-sum_R,0.064
bertscore-sentence-pagerank-cos-mpnet-sum_F,0.044
bertscore-sentence-pagerank-mnli-deberta-xlarge-entail_contradict-entropy_P,0.028
bertscore-sentence-pagerank-mnli-deberta-xlarge-entail_contradict-entropy_R,0.017
bertscore-sentence-pagerank-mnli-deberta-xlarge-entail_contradict-entropy_F,0.032
bertscore-sentence-pagerank-mnli-deberta-xlarge-entail_contradict-sum_P,0.01
bertscore-sentence-pagerank-mnli-deberta-xlarge-entail_contradict-sum_R,0.032
bertscore-sentence-pagerank-mnli-deberta-xlarge-entail_contradict-sum_F,-0.003
bertscore-sentence-mnli-roberta-entail_contradict-topk-5_P,-0.008
bertscore-sentence-mnli-roberta-entail_contradict-topk-5_R,0.02
bertscore-sentence-mnli-roberta-entail_contradict-topk-5_F,-0.005
bertscore-sentence-mnli-roberta-entail_contradict-topk-10_P,0.051
bertscore-sentence-mnli-roberta-entail_contradict-topk-10_R,0.048
bertscore-sentence-mnli-roberta-entail_contradict-topk-10_F,0.046
bertscore-sentence-mnli-roberta-entail_contradict-topk-20_P,0.028
bertscore-sentence-mnli-roberta-entail_contradict-topk-20_R,0.024
bertscore-sentence-mnli-roberta-entail_contradict-topk-20_F,0.014
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.2_P,0.036
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.2_R,0.037
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.2_F,0.019
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.5_P,0.037
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.5_R,0.039
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.5_F,0.032
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.7_P,0.022
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.7_R,0.024
bertscore-sentence-mnli-roberta-entail_contradict-topp-0.7_F,0.019
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topk-5_P,0.002
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topk-5_R,0.006
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topk-5_F,-0.002
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topk-10_P,0.041
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topk-10_R,0.054
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topk-10_F,0.046
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topk-20_P,0.031
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topk-20_R,0.039
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topk-20_F,0.045
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topp-0.2_P,0.031
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topp-0.2_R,0.022
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topp-0.2_F,0.007
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topp-0.5_P,0.057
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topp-0.5_R,0.052
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topp-0.5_F,0.056
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topp-0.7_P,0.034
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topp-0.7_R,0.042
bertscore-sentence-mnli-deberta-xlarge-entail_contradict-topp-0.7_F,0.047
bertscore-sentence-mnli-deberta-large-not_neutral_P,0.028
bertscore-sentence-mnli-deberta-large-not_neutral_R,0.0
bertscore-sentence-mnli-deberta-large-not_neutral_F,0.005
bertscore-sentence-mnli-deberta-large-entail_only_P,0.012
bertscore-sentence-mnli-deberta-large-entail_only_R,0.013
bertscore-sentence-mnli-deberta-large-entail_only_F,0.013
bertscore-sentence-mnli-deberta-large-entail_contradict_P,0.009
bertscore-sentence-mnli-deberta-large-entail_contradict_R,0.031
bertscore-sentence-mnli-deberta-large-entail_contradict_F,0.029
bertscore-sentence-mnli-deberta-large-entail_contradict-topk-5_P,-0.002
bertscore-sentence-mnli-deberta-large-entail_contradict-topk-5_R,0.025
bertscore-sentence-mnli-deberta-large-entail_contradict-topk-5_F,0.012
bertscore-sentence-mnli-deberta-large-entail_contradict-topk-10_P,0.022
bertscore-sentence-mnli-deberta-large-entail_contradict-topk-10_R,0.048
bertscore-sentence-mnli-deberta-large-entail_contradict-topk-10_F,0.049
bertscore-sentence-mnli-deberta-large-entail_contradict-topk-20_P,0.009
bertscore-sentence-mnli-deberta-large-entail_contradict-topk-20_R,0.041
bertscore-sentence-mnli-deberta-large-entail_contradict-topk-20_F,0.036
bertscore-sentence-mnli-deberta-large-entail_contradict-topp-0.2_P,0.018
bertscore-sentence-mnli-deberta-large-entail_contradict-topp-0.2_R,0.032
bertscore-sentence-mnli-deberta-large-entail_contradict-topp-0.2_F,0.028
bertscore-sentence-mnli-deberta-large-entail_contradict-topp-0.5_P,0.037
bertscore-sentence-mnli-deberta-large-entail_contradict-topp-0.5_R,0.059
bertscore-sentence-mnli-deberta-large-entail_contradict-topp-0.5_F,0.051
bertscore-sentence-mnli-deberta-large-entail_contradict-topp-0.7_P,0.011
bertscore-sentence-mnli-deberta-large-entail_contradict-topp-0.7_R,0.032
bertscore-sentence-mnli-deberta-large-entail_contradict-topp-0.7_F,0.046
bertscore-sentence-pagerank-mnli-deberta-large-entail_contradict-entropy_P,0.007
bertscore-sentence-pagerank-mnli-deberta-large-entail_contradict-entropy_R,-0.024
bertscore-sentence-pagerank-mnli-deberta-large-entail_contradict-entropy_F,-0.027
bertscore-sentence-pagerank-mnli-deberta-large-entail_contradict-sum_P,0.021
bertscore-sentence-pagerank-mnli-deberta-large-entail_contradict-sum_R,-0.053
bertscore-sentence-pagerank-mnli-deberta-large-entail_contradict-sum_F,-0.003
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-default_P,0.009
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-default_R,0.019
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-default_F,0.014
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-min-0.2-0.5_P,0.012
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-min-0.2-0.5_R,0.024
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-min-0.2-0.5_F,0.013
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-min-0.5-0.7_P,0.012
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-min-0.5-0.7_R,0.024
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-min-0.5-0.7_F,0.013
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-mean-0.2-0.5_P,0.012
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-mean-0.2-0.5_R,0.024
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-mean-0.2-0.5_F,0.013
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-mean-0.5-0.7_P,0.012
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-mean-0.5-0.7_R,0.024
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-mean-0.5-0.7_F,0.013
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-constant-16-32_P,0.008
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-constant-16-32_R,0.027
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-constant-16-32_F,0.017
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-constant-32-64_P,0.009
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-constant-32-64_R,0.019
bertscore-sentence-cos-mpnet-anyref-pegasus-newsroom-constant-32-64_F,0.014
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-default_P,0.043
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-default_R,0.069
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-default_F,0.064
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-min-0.2-0.5_P,0.043
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-min-0.2-0.5_R,0.069
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-min-0.2-0.5_F,0.064
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-min-0.5-0.7_P,0.043
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-min-0.5-0.7_R,0.069
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-min-0.5-0.7_F,0.064
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-mean-0.2-0.5_P,0.043
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-mean-0.2-0.5_R,0.069
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-mean-0.2-0.5_F,0.064
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-mean-0.5-0.7_P,0.043
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-mean-0.5-0.7_R,0.069
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-mean-0.5-0.7_F,0.064
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-constant-16-32_P,0.043
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-constant-16-32_R,0.069
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-constant-16-32_F,0.064
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-constant-32-64_P,0.043
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-constant-32-64_R,0.069
bertscore-sentence-cos-mpnet-anyref-pegasus-cnndm-constant-32-64_F,0.064
bertscore-sentence-cos-roberta-anyref-pegasus-newsroom-default_P,-0.001
bertscore-sentence-cos-roberta-anyref-pegasus-newsroom-default_R,0.025
bertscore-sentence-cos-roberta-anyref-pegasus-newsroom-default_F,0.009
bertscore-sentence-cos-roberta-anyref-pegasus-newsroom-min-0.2-0.5_P,-0.004
bertscore-sentence-cos-roberta-anyref-pegasus-newsroom-min-0.2-0.5_R,0.013
bertscore-sentence-cos-roberta-anyref-pegasus-newsroom-min-0.2-0.5_F,0.0
bertscore-sentence-cos-roberta-anyref-pegasus-newsroom-min-0.5-0.7_P,-0.004
