approach,dataset,eval_metric,corr_metric,pair,value
trad,newsroom,rougeLsum,pearsonr,"(Informativeness, scores)",0.13513062413512436
trad,newsroom,rougeLsum,pearsonr,"(Fluency, scores)",0.0520951377161758
trad,newsroom,rougeLsum,pearsonr,"(Relevance, scores)",0.1869119809187616
trad,newsroom,rougeLsum,kendalltau,"(Coherence, scores)",0.09535757031735373
trad,newsroom,rougeLsum,kendalltau,"(Informativeness, scores)",0.12622794284865455
trad,newsroom,rougeLsum,kendalltau,"(Fluency, scores)",0.0640200084081104
trad,newsroom,rougeLsum,kendalltau,"(Relevance, scores)",0.14796342277360888
trad,newsroom,rougeLsum,spearmanr,"(Coherence, scores)",0.13498056155332733
trad,newsroom,rougeLsum,spearmanr,"(Informativeness, scores)",0.18078647317969523
trad,newsroom,rougeLsum,spearmanr,"(Fluency, scores)",0.09038894572560736
trad,newsroom,rougeLsum,spearmanr,"(Relevance, scores)",0.20503849125550566
trad,newsroom,bertscore,pearsonr,"(Coherence, precision)",0.04141656283585623
trad,newsroom,bertscore,pearsonr,"(Coherence, recall)",0.37944527879097967
trad,newsroom,bertscore,pearsonr,"(Coherence, f1)",0.26343869493950556
trad,newsroom,bertscore,pearsonr,"(Informativeness, precision)",0.03237431371837886
trad,newsroom,bertscore,pearsonr,"(Informativeness, recall)",0.43770915470840244
trad,newsroom,bertscore,pearsonr,"(Informativeness, f1)",0.295318867775623
trad,newsroom,bertscore,pearsonr,"(Fluency, precision)",0.0440260076580521
trad,newsroom,bertscore,pearsonr,"(Fluency, recall)",0.3336608668965342
trad,newsroom,bertscore,pearsonr,"(Fluency, f1)",0.23448925023352946
trad,newsroom,bertscore,pearsonr,"(Relevance, precision)",0.0931539060092134
trad,newsroom,bertscore,pearsonr,"(Relevance, recall)",0.4514910641831725
trad,newsroom,bertscore,pearsonr,"(Relevance, f1)",0.33841053166885426
trad,newsroom,bertscore,kendalltau,"(Coherence, precision)",0.019011424713182817
trad,newsroom,bertscore,kendalltau,"(Coherence, recall)",0.2537829139984839
trad,newsroom,bertscore,kendalltau,"(Coherence, f1)",0.1754611329248035
trad,newsroom,bertscore,kendalltau,"(Informativeness, precision)",0.013035736919468213
trad,newsroom,bertscore,kendalltau,"(Informativeness, recall)",0.2863986979913424
trad,newsroom,bertscore,kendalltau,"(Informativeness, f1)",0.19414817000676265
trad,newsroom,bertscore,kendalltau,"(Fluency, precision)",0.01825382562612475
trad,newsroom,bertscore,kendalltau,"(Fluency, recall)",0.22235026354514964
trad,newsroom,bertscore,kendalltau,"(Fluency, f1)",0.14829022276879733
trad,newsroom,bertscore,kendalltau,"(Relevance, precision)",0.05526517120715931
trad,newsroom,bertscore,kendalltau,"(Relevance, recall)",0.2904903932086664
trad,newsroom,bertscore,kendalltau,"(Relevance, f1)",0.216033137954964
trad,newsroom,bertscore,spearmanr,"(Coherence, precision)",0.02855265214368889
trad,newsroom,bertscore,spearmanr,"(Coherence, recall)",0.35077076534116464
trad,newsroom,bertscore,spearmanr,"(Coherence, f1)",0.2461261675942864
trad,newsroom,bertscore,spearmanr,"(Informativeness, precision)",0.019019152309572497
trad,newsroom,bertscore,spearmanr,"(Informativeness, recall)",0.40149918871673157
trad,newsroom,bertscore,spearmanr,"(Informativeness, f1)",0.27437713645105904
trad,newsroom,bertscore,spearmanr,"(Fluency, precision)",0.028088031664502567
trad,newsroom,bertscore,spearmanr,"(Fluency, recall)",0.31073762771575925
trad,newsroom,bertscore,spearmanr,"(Fluency, f1)",0.20893297151967924
trad,newsroom,bertscore,spearmanr,"(Relevance, precision)",0.07805866567718353
trad,newsroom,bertscore,spearmanr,"(Relevance, recall)",0.4018138619266075
trad,newsroom,bertscore,spearmanr,"(Relevance, f1)",0.30069155825655564
trad,newsroom,bleurt,pearsonr,"(Coherence, scores)",0.22908762329228566
trad,newsroom,bleurt,pearsonr,"(Informativeness, scores)",0.336717068999185
trad,newsroom,bleurt,pearsonr,"(Fluency, scores)",0.18690323764195094
trad,newsroom,bleurt,pearsonr,"(Relevance, scores)",0.34858904223902387
trad,newsroom,bleurt,kendalltau,"(Coherence, scores)",0.1574669822328602
trad,newsroom,bleurt,kendalltau,"(Informativeness, scores)",0.24009255061084747
trad,newsroom,bleurt,kendalltau,"(Fluency, scores)",0.11999816912138213
trad,newsroom,bleurt,kendalltau,"(Relevance, scores)",0.22019534477038838
trad,newsroom,bleurt,spearmanr,"(Coherence, scores)",0.21930094129311037
trad,newsroom,bleurt,spearmanr,"(Informativeness, scores)",0.33404461968192556
trad,newsroom,bleurt,spearmanr,"(Fluency, scores)",0.16620688198103933
trad,newsroom,bleurt,spearmanr,"(Relevance, scores)",0.3094119325998322
trad,newsroom,bertscore-sentence,pearsonr,"(Coherence, P)",0.3014501975514774
trad,newsroom,bertscore-sentence,pearsonr,"(Coherence, R)",0.3959894116654985
trad,newsroom,bertscore-sentence,pearsonr,"(Coherence, F)",0.34848503515384366
trad,newsroom,bertscore-sentence,pearsonr,"(Informativeness, P)",0.3874752652587383
trad,newsroom,bertscore-sentence,pearsonr,"(Informativeness, R)",0.5080634943391205
trad,newsroom,bertscore-sentence,pearsonr,"(Informativeness, F)",0.4457809745463051
trad,newsroom,bertscore-sentence,pearsonr,"(Fluency, P)",0.2586518052366038
trad,newsroom,bertscore-sentence,pearsonr,"(Fluency, R)",0.3488677660727319
trad,newsroom,bertscore-sentence,pearsonr,"(Fluency, F)",0.30262434946486605
trad,newsroom,bertscore-sentence,pearsonr,"(Relevance, P)",0.43564194864916334
trad,newsroom,bertscore-sentence,pearsonr,"(Relevance, R)",0.5254570016085278
trad,newsroom,bertscore-sentence,pearsonr,"(Relevance, F)",0.4821959870707306
trad,newsroom,bertscore-sentence,kendalltau,"(Coherence, P)",0.20803466277764832
trad,newsroom,bertscore-sentence,kendalltau,"(Coherence, R)",0.26468698631109533
trad,newsroom,bertscore-sentence,kendalltau,"(Coherence, F)",0.23670905634327527
trad,newsroom,bertscore-sentence,kendalltau,"(Informativeness, P)",0.26090619914697616
trad,newsroom,bertscore-sentence,kendalltau,"(Informativeness, R)",0.33983409872346143
trad,newsroom,bertscore-sentence,kendalltau,"(Informativeness, F)",0.29720346571345785
trad,newsroom,bertscore-sentence,kendalltau,"(Fluency, P)",0.17500239369535173
trad,newsroom,bertscore-sentence,kendalltau,"(Fluency, R)",0.22524395888986143
trad,newsroom,bertscore-sentence,kendalltau,"(Fluency, F)",0.2005964937732969
trad,newsroom,bertscore-sentence,kendalltau,"(Relevance, P)",0.286328186393242
trad,newsroom,bertscore-sentence,kendalltau,"(Relevance, R)",0.35291492592050555
trad,newsroom,bertscore-sentence,kendalltau,"(Relevance, F)",0.31918771388343425
trad,newsroom,bertscore-sentence,spearmanr,"(Coherence, P)",0.2922503340655952
trad,newsroom,bertscore-sentence,spearmanr,"(Coherence, R)",0.3666448131081752
trad,newsroom,bertscore-sentence,spearmanr,"(Coherence, F)",0.3303872847098646
trad,newsroom,bertscore-sentence,spearmanr,"(Informativeness, P)",0.3634241683415071
trad,newsroom,bertscore-sentence,spearmanr,"(Informativeness, R)",0.46716202456275346
trad,newsroom,bertscore-sentence,spearmanr,"(Informativeness, F)",0.4133276249389482
trad,newsroom,bertscore-sentence,spearmanr,"(Fluency, P)",0.24826056490847864
trad,newsroom,bertscore-sentence,spearmanr,"(Fluency, R)",0.3167273611232579
trad,newsroom,bertscore-sentence,spearmanr,"(Fluency, F)",0.2828513463524536
trad,newsroom,bertscore-sentence,spearmanr,"(Relevance, P)",0.3929076656726241
trad,newsroom,bertscore-sentence,spearmanr,"(Relevance, R)",0.47624146524273936
trad,newsroom,bertscore-sentence,spearmanr,"(Relevance, F)",0.4355521167913935
trad,realsumm_abs,rouge1,pearsonr,"(litepyramid_recall, scores)",0.5840501663551281
trad,realsumm_abs,rouge1,kendalltau,"(litepyramid_recall, scores)",0.41054106736403634
trad,realsumm_abs,rouge1,spearmanr,"(litepyramid_recall, scores)",0.5728265389879345
trad,realsumm_abs,rouge2,pearsonr,"(litepyramid_recall, scores)",0.5655386668052393
trad,realsumm_abs,rouge2,kendalltau,"(litepyramid_recall, scores)",0.4129394700887854
trad,realsumm_abs,rouge2,spearmanr,"(litepyramid_recall, scores)",0.5758401967870274
trad,realsumm_abs,rougeL,pearsonr,"(litepyramid_recall, scores)",0.5128340976719938
trad,realsumm_abs,rougeL,kendalltau,"(litepyramid_recall, scores)",0.35970070962517414
trad,realsumm_abs,rougeL,spearmanr,"(litepyramid_recall, scores)",0.5103572079605415
trad,realsumm_abs,rougeLsum,pearsonr,"(litepyramid_recall, scores)",0.5128340976719938
trad,realsumm_abs,rougeLsum,kendalltau,"(litepyramid_recall, scores)",0.35970070962517414
trad,realsumm_abs,rougeLsum,spearmanr,"(litepyramid_recall, scores)",0.5103572079605415
trad,realsumm_abs,bertscore,pearsonr,"(litepyramid_recall, precision)",0.31580603439450444
trad,realsumm_abs,bertscore,pearsonr,"(litepyramid_recall, recall)",0.5595098816305013
trad,realsumm_abs,bertscore,pearsonr,"(litepyramid_recall, f1)",0.47030027384692474
trad,realsumm_abs,bertscore,kendalltau,"(litepyramid_recall, precision)",0.2031300273828264
trad,realsumm_abs,bertscore,kendalltau,"(litepyramid_recall, recall)",0.37937132342619717
trad,realsumm_abs,bertscore,kendalltau,"(litepyramid_recall, f1)",0.31204659500979026
trad,realsumm_abs,bertscore,spearmanr,"(litepyramid_recall, precision)",0.29779648226000827
trad,realsumm_abs,bertscore,spearmanr,"(litepyramid_recall, recall)",0.534709292406836
trad,realsumm_abs,bertscore,spearmanr,"(litepyramid_recall, f1)",0.44785859004089656
trad,realsumm_abs,bleurt,pearsonr,"(litepyramid_recall, scores)",0.563952586514187
trad,realsumm_abs,bleurt,kendalltau,"(litepyramid_recall, scores)",0.3872695851067014
trad,realsumm_abs,bleurt,spearmanr,"(litepyramid_recall, scores)",0.544854186997014
trad,realsumm_abs,bertscore-sentence,pearsonr,"(litepyramid_recall, P)",0.2833377128730934
trad,realsumm_abs,bertscore-sentence,pearsonr,"(litepyramid_recall, R)",0.28908461520827905
trad,realsumm_abs,bertscore-sentence,pearsonr,"(litepyramid_recall, F)",0.3316108147496215
trad,realsumm_abs,bertscore-sentence,kendalltau,"(litepyramid_recall, P)",0.18283222627875154
trad,realsumm_abs,bertscore-sentence,kendalltau,"(litepyramid_recall, R)",0.20642901065751004
trad,realsumm_abs,bertscore-sentence,kendalltau,"(litepyramid_recall, F)",0.21531615374365878
trad,realsumm_abs,bertscore-sentence,spearmanr,"(litepyramid_recall, P)",0.26757820859262943
trad,realsumm_abs,bertscore-sentence,spearmanr,"(litepyramid_recall, R)",0.3004769680830865
trad,realsumm_abs,bertscore-sentence,spearmanr,"(litepyramid_recall, F)",0.3126901615061314
trad,realsumm_ext,rouge1,pearsonr,"(litepyramid_recall, scores)",0.2547127415815572
trad,realsumm_ext,rouge1,kendalltau,"(litepyramid_recall, scores)",0.14861665986848718
trad,realsumm_ext,rouge1,spearmanr,"(litepyramid_recall, scores)",0.20988246942755948
trad,realsumm_ext,rouge2,pearsonr,"(litepyramid_recall, scores)",0.2971352930625117
trad,realsumm_ext,rouge2,kendalltau,"(litepyramid_recall, scores)",0.19116419778764435
trad,realsumm_ext,rouge2,spearmanr,"(litepyramid_recall, scores)",0.2712405237874062
trad,realsumm_ext,rougeL,pearsonr,"(litepyramid_recall, scores)",0.24168161174441327
trad,realsumm_ext,rougeL,kendalltau,"(litepyramid_recall, scores)",0.15966207551799702
trad,realsumm_ext,rougeL,spearmanr,"(litepyramid_recall, scores)",0.2316855126892376
trad,realsumm_ext,rougeLsum,pearsonr,"(litepyramid_recall, scores)",0.24168161174441327
trad,realsumm_ext,rougeLsum,kendalltau,"(litepyramid_recall, scores)",0.15966207551799702
trad,realsumm_ext,rougeLsum,spearmanr,"(litepyramid_recall, scores)",0.2316855126892376
trad,realsumm_ext,bertscore,pearsonr,"(litepyramid_recall, precision)",0.14313484851752228
trad,realsumm_ext,bertscore,pearsonr,"(litepyramid_recall, recall)",0.28390693363786706
trad,realsumm_ext,bertscore,pearsonr,"(litepyramid_recall, f1)",0.22501967722568422
trad,realsumm_ext,bertscore,kendalltau,"(litepyramid_recall, precision)",0.0852081487704314
trad,realsumm_ext,bertscore,kendalltau,"(litepyramid_recall, recall)",0.17326370194310256
trad,realsumm_ext,bertscore,kendalltau,"(litepyramid_recall, f1)",0.137457163618344
trad,realsumm_ext,bertscore,spearmanr,"(litepyramid_recall, precision)",0.12283152190936857
trad,realsumm_ext,bertscore,spearmanr,"(litepyramid_recall, recall)",0.2495630211183389
trad,realsumm_ext,bertscore,spearmanr,"(litepyramid_recall, f1)",0.1977896247797331
trad,realsumm_ext,bleurt,pearsonr,"(litepyramid_recall, scores)",0.27598957193708096
trad,realsumm_ext,bleurt,kendalltau,"(litepyramid_recall, scores)",0.16132519703275214
trad,realsumm_ext,bleurt,spearmanr,"(litepyramid_recall, scores)",0.2330385330499019
trad,realsumm_ext,bertscore-sentence,pearsonr,"(litepyramid_recall, P)",0.11266103562274864
trad,realsumm_ext,bertscore-sentence,pearsonr,"(litepyramid_recall, R)",0.23527810780006467
trad,realsumm_ext,bertscore-sentence,pearsonr,"(litepyramid_recall, F)",0.19317959626206033
trad,realsumm_ext,bertscore-sentence,kendalltau,"(litepyramid_recall, P)",0.07485475927541052
trad,realsumm_ext,bertscore-sentence,kendalltau,"(litepyramid_recall, R)",0.14989976583098513
trad,realsumm_ext,bertscore-sentence,kendalltau,"(litepyramid_recall, F)",0.12582607650701416
trad,realsumm_ext,bertscore-sentence,spearmanr,"(litepyramid_recall, P)",0.10660165311867588
trad,realsumm_ext,bertscore-sentence,spearmanr,"(litepyramid_recall, R)",0.21623148001353362
trad,realsumm_ext,bertscore-sentence,spearmanr,"(litepyramid_recall, F)",0.18054789713281627
new,newsroom,rouge1,pearsonr,"(Coherence, scores)",0.288603070787511
new,newsroom,rouge1,pearsonr,"(Informativeness, scores)",0.4792943575227374
new,newsroom,rouge1,pearsonr,"(Fluency, scores)",0.23154698866540255
new,newsroom,rouge1,pearsonr,"(Relevance, scores)",0.41263184578791706
new,newsroom,rouge1,kendalltau,"(Coherence, scores)",0.3055149391307713
new,newsroom,rouge1,kendalltau,"(Informativeness, scores)",0.4718993460598713
new,newsroom,rouge1,kendalltau,"(Fluency, scores)",0.25387028120278127
new,newsroom,rouge1,kendalltau,"(Relevance, scores)",0.41830540215002515
new,newsroom,rouge1,spearmanr,"(Coherence, scores)",0.4242339946437663
new,newsroom,rouge1,spearmanr,"(Informativeness, scores)",0.6317320309592711
new,newsroom,rouge1,spearmanr,"(Fluency, scores)",0.3538325705283334
new,newsroom,rouge1,spearmanr,"(Relevance, scores)",0.5626276450293708
new,newsroom,rouge2,pearsonr,"(Coherence, scores)",0.3214484917116289
new,newsroom,rouge2,pearsonr,"(Informativeness, scores)",0.5034985225762479
new,newsroom,rouge2,pearsonr,"(Fluency, scores)",0.26628243742018176
new,newsroom,rouge2,pearsonr,"(Relevance, scores)",0.44094846168692126
new,newsroom,rouge2,kendalltau,"(Coherence, scores)",0.34210329417389496
new,newsroom,rouge2,kendalltau,"(Informativeness, scores)",0.5050840203717053
new,newsroom,rouge2,kendalltau,"(Fluency, scores)",0.2937321850820414
new,newsroom,rouge2,kendalltau,"(Relevance, scores)",0.4505317685947166
new,newsroom,rouge2,spearmanr,"(Coherence, scores)",0.46580011899383356
new,newsroom,rouge2,spearmanr,"(Informativeness, scores)",0.6638642073254242
new,newsroom,rouge2,spearmanr,"(Fluency, scores)",0.40076188090376136
new,newsroom,rouge2,spearmanr,"(Relevance, scores)",0.5961589466746081
new,newsroom,rougeL,pearsonr,"(Coherence, scores)",0.31108935314485503
new,newsroom,rougeL,pearsonr,"(Informativeness, scores)",0.4863120419748046
new,newsroom,rougeL,pearsonr,"(Fluency, scores)",0.2514811925453072
new,newsroom,rougeL,pearsonr,"(Relevance, scores)",0.4240402886722537
new,newsroom,rougeL,kendalltau,"(Coherence, scores)",0.32505780561750136
new,newsroom,rougeL,kendalltau,"(Informativeness, scores)",0.4847984633574314
new,newsroom,rougeL,kendalltau,"(Fluency, scores)",0.2766932184398713
new,newsroom,rougeL,kendalltau,"(Relevance, scores)",0.4305452552021397
new,newsroom,rougeL,spearmanr,"(Coherence, scores)",0.4509018162476715
new,newsroom,rougeL,spearmanr,"(Informativeness, scores)",0.6460813264384901
new,newsroom,rougeL,spearmanr,"(Fluency, scores)",0.3832246703377784
new,newsroom,rougeL,spearmanr,"(Relevance, scores)",0.5784587763838158
new,newsroom,rougeLsum,pearsonr,"(Coherence, scores)",0.31108935314485503
new,newsroom,rougeLsum,pearsonr,"(Informativeness, scores)",0.4863120419748046
new,newsroom,rougeLsum,pearsonr,"(Fluency, scores)",0.2514811925453072
new,newsroom,rougeLsum,pearsonr,"(Relevance, scores)",0.4240402886722537
new,newsroom,rougeLsum,kendalltau,"(Coherence, scores)",0.32505780561750136
new,newsroom,rougeLsum,kendalltau,"(Informativeness, scores)",0.4847984633574314
new,newsroom,rougeLsum,kendalltau,"(Fluency, scores)",0.2766932184398713
new,newsroom,rougeLsum,kendalltau,"(Relevance, scores)",0.4305452552021397
new,newsroom,rougeLsum,spearmanr,"(Coherence, scores)",0.4509018162476715
new,newsroom,rougeLsum,spearmanr,"(Informativeness, scores)",0.6460813264384901
new,newsroom,rougeLsum,spearmanr,"(Fluency, scores)",0.3832246703377784
new,newsroom,rougeLsum,spearmanr,"(Relevance, scores)",0.5784587763838158
new,newsroom,bertscore,pearsonr,"(Coherence, precision)",0.5913884829270248
new,newsroom,bertscore,pearsonr,"(Coherence, recall)",0.52189483903445
new,newsroom,bertscore,pearsonr,"(Coherence, f1)",0.602935755316456
new,newsroom,bertscore,pearsonr,"(Informativeness, precision)",0.6509037445699221
new,newsroom,bertscore,pearsonr,"(Informativeness, recall)",0.6469512514251693
new,newsroom,bertscore,pearsonr,"(Informativeness, f1)",0.7003153012044627
new,newsroom,bertscore,pearsonr,"(Fluency, precision)",0.5392243604048961
new,newsroom,bertscore,pearsonr,"(Fluency, recall)",0.4564149787427919
new,newsroom,bertscore,pearsonr,"(Fluency, f1)",0.5393741798536061
new,newsroom,bertscore,pearsonr,"(Relevance, precision)",0.6433591686837836
new,newsroom,bertscore,pearsonr,"(Relevance, recall)",0.6033019899004134
new,newsroom,bertscore,pearsonr,"(Relevance, f1)",0.6742682615603245
new,newsroom,bertscore,kendalltau,"(Coherence, precision)",0.43299787378365245
new,newsroom,bertscore,kendalltau,"(Coherence, recall)",0.39257763488075426
new,newsroom,bertscore,kendalltau,"(Coherence, f1)",0.43505642399740097
new,newsroom,bertscore,kendalltau,"(Informativeness, precision)",0.4591785104048141
new,newsroom,bertscore,kendalltau,"(Informativeness, recall)",0.4809327525596092
new,newsroom,bertscore,kendalltau,"(Informativeness, f1)",0.5017705188808319
new,newsroom,bertscore,kendalltau,"(Fluency, precision)",0.3997346342657992
new,newsroom,bertscore,kendalltau,"(Fluency, recall)",0.33124064184447966
new,newsroom,bertscore,kendalltau,"(Fluency, f1)",0.38585597221023726
new,newsroom,bertscore,kendalltau,"(Relevance, precision)",0.4372142685500582
new,newsroom,bertscore,kendalltau,"(Relevance, recall)",0.43628933370218614
new,newsroom,bertscore,kendalltau,"(Relevance, f1)",0.4628446999924082
new,newsroom,bertscore,spearmanr,"(Coherence, precision)",0.5794519199497279
new,newsroom,bertscore,spearmanr,"(Coherence, recall)",0.5290302619010436
new,newsroom,bertscore,spearmanr,"(Coherence, f1)",0.579682221463319
new,newsroom,bertscore,spearmanr,"(Informativeness, precision)",0.609271353573532
new,newsroom,bertscore,spearmanr,"(Informativeness, recall)",0.6409215814334008
new,newsroom,bertscore,spearmanr,"(Informativeness, f1)",0.6625452131939445
new,newsroom,bertscore,spearmanr,"(Fluency, precision)",0.5288494910673346
new,newsroom,bertscore,spearmanr,"(Fluency, recall)",0.45067336655230933
new,newsroom,bertscore,spearmanr,"(Fluency, f1)",0.5147867483783392
new,newsroom,bertscore,spearmanr,"(Relevance, precision)",0.5786121591879758
new,newsroom,bertscore,spearmanr,"(Relevance, recall)",0.5857147128273793
new,newsroom,bertscore,spearmanr,"(Relevance, f1)",0.6119381856132456
new,newsroom,bleurt,pearsonr,"(Coherence, scores)",0.4796695272822946
new,newsroom,bleurt,pearsonr,"(Informativeness, scores)",0.5689407830822455
new,newsroom,bleurt,pearsonr,"(Fluency, scores)",0.43647849256708104
new,newsroom,bleurt,pearsonr,"(Relevance, scores)",0.5165859564036228
new,newsroom,bleurt,kendalltau,"(Coherence, scores)",0.3432450844642153
new,newsroom,bleurt,kendalltau,"(Informativeness, scores)",0.41516355260824994
new,newsroom,bleurt,kendalltau,"(Fluency, scores)",0.3059625183107066
new,newsroom,bleurt,kendalltau,"(Relevance, scores)",0.3732720620932174
new,newsroom,bleurt,spearmanr,"(Coherence, scores)",0.4689640337994972
new,newsroom,bleurt,spearmanr,"(Informativeness, scores)",0.558822277952327
new,newsroom,bleurt,spearmanr,"(Fluency, scores)",0.4199665222944733
new,newsroom,bleurt,spearmanr,"(Relevance, scores)",0.5072675916931708
new,newsroom,bertscore-sentence,pearsonr,"(Coherence, P)",0.6420093899971999
new,newsroom,bertscore-sentence,pearsonr,"(Coherence, R)",0.4707240100527591
new,newsroom,bertscore-sentence,pearsonr,"(Coherence, F)",0.5509485618264295
new,newsroom,bertscore-sentence,pearsonr,"(Informativeness, P)",0.7068599311485388
new,newsroom,bertscore-sentence,pearsonr,"(Informativeness, R)",0.6370770438805435
new,newsroom,bertscore-sentence,pearsonr,"(Informativeness, F)",0.6986466628736088
new,newsroom,bertscore-sentence,pearsonr,"(Fluency, P)",0.5919915007921714
new,newsroom,bertscore-sentence,pearsonr,"(Fluency, R)",0.41553984658653187
new,newsroom,bertscore-sentence,pearsonr,"(Fluency, F)",0.4921763037722525
new,newsroom,bertscore-sentence,pearsonr,"(Relevance, P)",0.7493382508892218
new,newsroom,bertscore-sentence,pearsonr,"(Relevance, R)",0.6189331808011034
new,newsroom,bertscore-sentence,pearsonr,"(Relevance, F)",0.6985174403750464
new,newsroom,bertscore-sentence,kendalltau,"(Coherence, P)",0.4599703768447911
new,newsroom,bertscore-sentence,kendalltau,"(Coherence, R)",0.3221509993327448
new,newsroom,bertscore-sentence,kendalltau,"(Coherence, F)",0.3731546081580914
new,newsroom,bertscore-sentence,kendalltau,"(Informativeness, P)",0.4352450064949642
new,newsroom,bertscore-sentence,kendalltau,"(Informativeness, R)",0.4457690218925458
new,newsroom,bertscore-sentence,kendalltau,"(Informativeness, F)",0.4791962720328406
new,newsroom,bertscore-sentence,kendalltau,"(Fluency, P)",0.44054781803757204
new,newsroom,bertscore-sentence,kendalltau,"(Fluency, R)",0.2864448902360722
new,newsroom,bertscore-sentence,kendalltau,"(Fluency, F)",0.33911574956077045
new,newsroom,bertscore-sentence,kendalltau,"(Relevance, P)",0.450459888403456
new,newsroom,bertscore-sentence,kendalltau,"(Relevance, R)",0.4106832426505696
new,newsroom,bertscore-sentence,kendalltau,"(Relevance, F)",0.4493601235260625
new,newsroom,bertscore-sentence,spearmanr,"(Coherence, P)",0.6134452767630848
new,newsroom,bertscore-sentence,spearmanr,"(Coherence, R)",0.44222986643011347
new,newsroom,bertscore-sentence,spearmanr,"(Coherence, F)",0.5066475681304835
new,newsroom,bertscore-sentence,spearmanr,"(Informativeness, P)",0.5857378891557679
new,newsroom,bertscore-sentence,spearmanr,"(Informativeness, R)",0.5996269437322165
new,newsroom,bertscore-sentence,spearmanr,"(Informativeness, F)",0.6386625701739536
new,newsroom,bertscore-sentence,spearmanr,"(Fluency, P)",0.591170808572363
new,newsroom,bertscore-sentence,spearmanr,"(Fluency, R)",0.3945964218282078
new,newsroom,bertscore-sentence,spearmanr,"(Fluency, F)",0.4624801496005824
new,newsroom,bertscore-sentence,spearmanr,"(Relevance, P)",0.6001043893908033
new,newsroom,bertscore-sentence,spearmanr,"(Relevance, R)",0.5547699234102075
new,newsroom,bertscore-sentence,spearmanr,"(Relevance, F)",0.6013216259072565
new,realsumm_abs,rouge1,pearsonr,"(litepyramid_recall, scores)",0.3233123444275029
new,realsumm_abs,rouge1,kendalltau,"(litepyramid_recall, scores)",0.21543617665062453
new,realsumm_abs,rouge1,spearmanr,"(litepyramid_recall, scores)",0.31698043204022797
new,realsumm_abs,rouge2,pearsonr,"(litepyramid_recall, scores)",0.32411722841106394
new,realsumm_abs,rouge2,kendalltau,"(litepyramid_recall, scores)",0.2173068213130148
new,realsumm_abs,rouge2,spearmanr,"(litepyramid_recall, scores)",0.32019622910470497
new,realsumm_abs,rougeL,pearsonr,"(litepyramid_recall, scores)",0.32676399139344814
new,realsumm_abs,rougeL,kendalltau,"(litepyramid_recall, scores)",0.2174161106949151
