approach,dataset,eval_metric,corr_metric,pair,value
trad,newsroom,rougeLsum,spearmanr,"(Informativeness, scores)",0.11731506648094661
trad,newsroom,rougeLsum,spearmanr,"(Fluency, scores)",0.054060302025271116
trad,newsroom,rougeLsum,spearmanr,"(Relevance, scores)",0.13619887083743
trad,newsroom,bertscore,pearsonr,"(Coherence, precision)",0.025892501789149407
trad,newsroom,bertscore,pearsonr,"(Coherence, recall)",0.23722046345465578
trad,newsroom,bertscore,pearsonr,"(Coherence, f1)",0.16469568478155816
trad,newsroom,bertscore,pearsonr,"(Informativeness, precision)",0.02350316264092693
trad,newsroom,bertscore,pearsonr,"(Informativeness, recall)",0.31777139113485775
trad,newsroom,bertscore,pearsonr,"(Informativeness, f1)",0.21439769400685688
trad,newsroom,bertscore,pearsonr,"(Fluency, precision)",0.026062288219015486
trad,newsroom,bertscore,pearsonr,"(Fluency, recall)",0.19751990825008786
trad,newsroom,bertscore,pearsonr,"(Fluency, f1)",0.1388123646960004
trad,newsroom,bertscore,pearsonr,"(Relevance, precision)",0.06215380984028951
trad,newsroom,bertscore,pearsonr,"(Relevance, recall)",0.30124344109626
trad,newsroom,bertscore,pearsonr,"(Relevance, f1)",0.22579380641322128
trad,newsroom,bertscore,kendalltau,"(Coherence, precision)",0.009753822344838315
trad,newsroom,bertscore,kendalltau,"(Coherence, recall)",0.1515938976055398
trad,newsroom,bertscore,kendalltau,"(Coherence, f1)",0.10523763966062899
trad,newsroom,bertscore,kendalltau,"(Informativeness, precision)",-0.0032626824937461055
trad,newsroom,bertscore,kendalltau,"(Informativeness, recall)",0.21055356581702045
trad,newsroom,bertscore,kendalltau,"(Informativeness, f1)",0.1363294674300363
trad,newsroom,bertscore,kendalltau,"(Fluency, precision)",0.014619515477490944
trad,newsroom,bertscore,kendalltau,"(Fluency, recall)",0.13020887109785
trad,newsroom,bertscore,kendalltau,"(Fluency, f1)",0.08871334363258723
trad,newsroom,bertscore,kendalltau,"(Relevance, precision)",0.04333089765548369
trad,newsroom,bertscore,kendalltau,"(Relevance, recall)",0.19436940420523782
trad,newsroom,bertscore,kendalltau,"(Relevance, f1)",0.14760663301611487
trad,newsroom,bertscore,spearmanr,"(Coherence, precision)",0.01294876084651794
trad,newsroom,bertscore,spearmanr,"(Coherence, recall)",0.20599280761644986
trad,newsroom,bertscore,spearmanr,"(Coherence, f1)",0.1432364440791715
trad,newsroom,bertscore,spearmanr,"(Informativeness, precision)",-0.0024993828078641463
trad,newsroom,bertscore,spearmanr,"(Informativeness, recall)",0.2816069996214018
trad,newsroom,bertscore,spearmanr,"(Informativeness, f1)",0.18336352041235865
trad,newsroom,bertscore,spearmanr,"(Fluency, precision)",0.019678186496804407
trad,newsroom,bertscore,spearmanr,"(Fluency, recall)",0.176596889433331
trad,newsroom,bertscore,spearmanr,"(Fluency, f1)",0.12080358088159503
trad,newsroom,bertscore,spearmanr,"(Relevance, precision)",0.05829783480807423
trad,newsroom,bertscore,spearmanr,"(Relevance, recall)",0.25802983812244146
trad,newsroom,bertscore,spearmanr,"(Relevance, f1)",0.19682223135381496
trad,newsroom,bleurt,pearsonr,"(Coherence, scores)",0.14322046019870993
trad,newsroom,bleurt,pearsonr,"(Informativeness, scores)",0.24445229934562912
trad,newsroom,bleurt,pearsonr,"(Fluency, scores)",0.11064269287092389
trad,newsroom,bleurt,pearsonr,"(Relevance, scores)",0.23258492964505284
trad,newsroom,bleurt,kendalltau,"(Coherence, scores)",0.09355544879890494
trad,newsroom,bleurt,kendalltau,"(Informativeness, scores)",0.18400032217429957
trad,newsroom,bleurt,kendalltau,"(Fluency, scores)",0.07251434063035915
trad,newsroom,bleurt,kendalltau,"(Relevance, scores)",0.14494307677707538
trad,newsroom,bleurt,spearmanr,"(Coherence, scores)",0.12676048564162753
trad,newsroom,bleurt,spearmanr,"(Informativeness, scores)",0.24446582890578955
trad,newsroom,bleurt,spearmanr,"(Fluency, scores)",0.09767340599904382
trad,newsroom,bleurt,spearmanr,"(Relevance, scores)",0.19465601567860064
trad,realsumm_abs,rouge1,pearsonr,"(litepyramid_recall, scores)",0.5840501663551281
trad,realsumm_abs,rouge1,kendalltau,"(litepyramid_recall, scores)",0.41054106736403634
trad,realsumm_abs,rouge1,spearmanr,"(litepyramid_recall, scores)",0.5728265389879345
trad,realsumm_abs,rouge2,pearsonr,"(litepyramid_recall, scores)",0.5655386668052393
trad,realsumm_abs,rouge2,kendalltau,"(litepyramid_recall, scores)",0.4129394700887854
trad,realsumm_abs,rouge2,spearmanr,"(litepyramid_recall, scores)",0.5758401967870274
trad,realsumm_abs,rougeL,pearsonr,"(litepyramid_recall, scores)",0.5128340976719938
trad,realsumm_abs,rougeL,kendalltau,"(litepyramid_recall, scores)",0.35970070962517414
trad,realsumm_abs,rougeL,spearmanr,"(litepyramid_recall, scores)",0.5103572079605415
trad,realsumm_abs,rougeLsum,pearsonr,"(litepyramid_recall, scores)",0.5128340976719938
trad,realsumm_abs,rougeLsum,kendalltau,"(litepyramid_recall, scores)",0.35970070962517414
trad,realsumm_abs,rougeLsum,spearmanr,"(litepyramid_recall, scores)",0.5103572079605415
trad,realsumm_abs,bertscore,pearsonr,"(litepyramid_recall, precision)",0.31580603601666934
trad,realsumm_abs,bertscore,pearsonr,"(litepyramid_recall, recall)",0.5595097479766471
trad,realsumm_abs,bertscore,pearsonr,"(litepyramid_recall, f1)",0.470300093738961
trad,realsumm_abs,bertscore,kendalltau,"(litepyramid_recall, precision)",0.20312795913327433
trad,realsumm_abs,bertscore,kendalltau,"(litepyramid_recall, recall)",0.3793688677839019
trad,realsumm_abs,bertscore,kendalltau,"(litepyramid_recall, f1)",0.31204834461676484
trad,realsumm_abs,bertscore,spearmanr,"(litepyramid_recall, precision)",0.2977959681693379
trad,realsumm_abs,bertscore,spearmanr,"(litepyramid_recall, recall)",0.5347068367281448
trad,realsumm_abs,bertscore,spearmanr,"(litepyramid_recall, f1)",0.4478589587693725
trad,realsumm_abs,bleurt,pearsonr,"(litepyramid_recall, scores)",0.5639529039182334
trad,realsumm_abs,bleurt,kendalltau,"(litepyramid_recall, scores)",0.38726835325371395
trad,realsumm_abs,bleurt,spearmanr,"(litepyramid_recall, scores)",0.5448529525837188
trad,realsumm_ext,rouge1,pearsonr,"(litepyramid_recall, scores)",0.2547127415815572
trad,realsumm_ext,rouge1,kendalltau,"(litepyramid_recall, scores)",0.14861665986848718
trad,realsumm_ext,rouge1,spearmanr,"(litepyramid_recall, scores)",0.20988246942755948
trad,realsumm_ext,rouge2,pearsonr,"(litepyramid_recall, scores)",0.2971352930625117
trad,realsumm_ext,rouge2,kendalltau,"(litepyramid_recall, scores)",0.19116419778764435
trad,realsumm_ext,rouge2,spearmanr,"(litepyramid_recall, scores)",0.2712405237874062
trad,realsumm_ext,rougeL,pearsonr,"(litepyramid_recall, scores)",0.24168161174441327
trad,realsumm_ext,rougeL,kendalltau,"(litepyramid_recall, scores)",0.15966207551799702
trad,realsumm_ext,rougeL,spearmanr,"(litepyramid_recall, scores)",0.2316855126892376
trad,realsumm_ext,rougeLsum,pearsonr,"(litepyramid_recall, scores)",0.24168161174441327
trad,realsumm_ext,rougeLsum,kendalltau,"(litepyramid_recall, scores)",0.15966207551799702
trad,realsumm_ext,rougeLsum,spearmanr,"(litepyramid_recall, scores)",0.2316855126892376
trad,realsumm_ext,bertscore,pearsonr,"(litepyramid_recall, precision)",0.14313472913055458
trad,realsumm_ext,bertscore,pearsonr,"(litepyramid_recall, recall)",0.28390695414397715
trad,realsumm_ext,bertscore,pearsonr,"(litepyramid_recall, f1)",0.22501962492828387
trad,realsumm_ext,bertscore,kendalltau,"(litepyramid_recall, precision)",0.08521112037045707
trad,realsumm_ext,bertscore,kendalltau,"(litepyramid_recall, recall)",0.1732579957218556
trad,realsumm_ext,bertscore,kendalltau,"(litepyramid_recall, f1)",0.13745431050772053
trad,realsumm_ext,bertscore,spearmanr,"(litepyramid_recall, precision)",0.12283493978756785
trad,realsumm_ext,bertscore,spearmanr,"(litepyramid_recall, recall)",0.24956016413997495
trad,realsumm_ext,bertscore,spearmanr,"(litepyramid_recall, f1)",0.19778539673014459
trad,realsumm_ext,bleurt,pearsonr,"(litepyramid_recall, scores)",0.27598918859939253
trad,realsumm_ext,bleurt,kendalltau,"(litepyramid_recall, scores)",0.16133375638247577
trad,realsumm_ext,bleurt,spearmanr,"(litepyramid_recall, scores)",0.23304264278372805
new,newsroom,rouge1,pearsonr,"(Coherence, scores)",0.18042806312448775
new,newsroom,rouge1,pearsonr,"(Informativeness, scores)",0.3479617506230044
new,newsroom,rouge1,pearsonr,"(Fluency, scores)",0.13707078804654446
new,newsroom,rouge1,pearsonr,"(Relevance, scores)",0.27531589342282037
new,newsroom,rouge1,kendalltau,"(Coherence, scores)",0.1800685030454464
new,newsroom,rouge1,kendalltau,"(Informativeness, scores)",0.3455235549108345
new,newsroom,rouge1,kendalltau,"(Fluency, scores)",0.13551656463852405
new,newsroom,rouge1,kendalltau,"(Relevance, scores)",0.25909125923689913
new,newsroom,rouge1,spearmanr,"(Coherence, scores)",0.24219108713044332
new,newsroom,rouge1,spearmanr,"(Informativeness, scores)",0.45044963062537835
new,newsroom,rouge1,spearmanr,"(Fluency, scores)",0.1848421886632422
new,newsroom,rouge1,spearmanr,"(Relevance, scores)",0.3410161211340807
new,newsroom,rouge2,pearsonr,"(Coherence, scores)",0.20096227179966236
new,newsroom,rouge2,pearsonr,"(Informativeness, scores)",0.3655336738309423
new,newsroom,rouge2,pearsonr,"(Fluency, scores)",0.15763341924900903
new,newsroom,rouge2,pearsonr,"(Relevance, scores)",0.29420928346172726
new,newsroom,rouge2,kendalltau,"(Coherence, scores)",0.2007244811553195
new,newsroom,rouge2,kendalltau,"(Informativeness, scores)",0.3644321922624369
new,newsroom,rouge2,kendalltau,"(Fluency, scores)",0.1553688614787737
new,newsroom,rouge2,kendalltau,"(Relevance, scores)",0.2782429817584937
new,newsroom,rouge2,spearmanr,"(Coherence, scores)",0.26941673889254847
new,newsroom,rouge2,spearmanr,"(Informativeness, scores)",0.47187197421972776
new,newsroom,rouge2,spearmanr,"(Fluency, scores)",0.21117590986123866
new,newsroom,rouge2,spearmanr,"(Relevance, scores)",0.3622177402832377
new,newsroom,rougeL,pearsonr,"(Coherence, scores)",0.1944859744333834
new,newsroom,rougeL,pearsonr,"(Informativeness, scores)",0.3530565023740615
new,newsroom,rougeL,pearsonr,"(Fluency, scores)",0.14887140376885644
new,newsroom,rougeL,pearsonr,"(Relevance, scores)",0.282927825650849
new,newsroom,rougeL,kendalltau,"(Coherence, scores)",0.19181806118814157
new,newsroom,rougeL,kendalltau,"(Informativeness, scores)",0.352506641948523
new,newsroom,rougeL,kendalltau,"(Fluency, scores)",0.147855886769678
new,newsroom,rougeL,kendalltau,"(Relevance, scores)",0.2669704868791073
new,newsroom,rougeL,spearmanr,"(Coherence, scores)",0.25779000376329586
new,newsroom,rougeL,spearmanr,"(Informativeness, scores)",0.4592361177166287
new,newsroom,rougeL,spearmanr,"(Fluency, scores)",0.20096093693375527
new,newsroom,rougeL,spearmanr,"(Relevance, scores)",0.35122053248641644
new,newsroom,rougeLsum,pearsonr,"(Coherence, scores)",0.1944859744333834
new,newsroom,rougeLsum,pearsonr,"(Informativeness, scores)",0.3530565023740615
new,newsroom,rougeLsum,pearsonr,"(Fluency, scores)",0.14887140376885644
new,newsroom,rougeLsum,pearsonr,"(Relevance, scores)",0.282927825650849
new,newsroom,rougeLsum,kendalltau,"(Coherence, scores)",0.19181806118814157
new,newsroom,rougeLsum,kendalltau,"(Informativeness, scores)",0.352506641948523
new,newsroom,rougeLsum,kendalltau,"(Fluency, scores)",0.147855886769678
new,newsroom,rougeLsum,kendalltau,"(Relevance, scores)",0.2669704868791073
new,newsroom,rougeLsum,spearmanr,"(Coherence, scores)",0.25779000376329586
new,newsroom,rougeLsum,spearmanr,"(Informativeness, scores)",0.4592361177166287
new,newsroom,rougeLsum,spearmanr,"(Fluency, scores)",0.20096093693375527
new,newsroom,rougeLsum,spearmanr,"(Relevance, scores)",0.35122053248641644
new,newsroom,bertscore,pearsonr,"(Coherence, precision)",0.36972256392077235
new,newsroom,bertscore,pearsonr,"(Coherence, recall)",0.3262767109166328
new,newsroom,bertscore,pearsonr,"(Coherence, f1)",0.37694173203246195
new,newsroom,bertscore,pearsonr,"(Informativeness, precision)",0.4725479432167582
new,newsroom,bertscore,pearsonr,"(Informativeness, recall)",0.4696785407236027
new,newsroom,bertscore,pearsonr,"(Informativeness, f1)",0.5084202670967373
new,newsroom,bertscore,pearsonr,"(Fluency, precision)",0.31920906227584755
new,newsroom,bertscore,pearsonr,"(Fluency, recall)",0.27018770476313025
new,newsroom,bertscore,pearsonr,"(Fluency, f1)",0.31929782207911
new,newsroom,bertscore,pearsonr,"(Relevance, precision)",0.4292615548803437
new,newsroom,bertscore,pearsonr,"(Relevance, recall)",0.40253471247849504
new,newsroom,bertscore,pearsonr,"(Relevance, f1)",0.4498848450922489
new,newsroom,bertscore,kendalltau,"(Coherence, precision)",0.2580071776649828
new,newsroom,bertscore,kendalltau,"(Coherence, recall)",0.23511959572286334
new,newsroom,bertscore,kendalltau,"(Coherence, f1)",0.25790309063240113
new,newsroom,bertscore,kendalltau,"(Informativeness, precision)",0.330907628305214
new,newsroom,bertscore,kendalltau,"(Informativeness, recall)",0.35240053088659856
new,newsroom,bertscore,kendalltau,"(Informativeness, f1)",0.36311762830870115
new,newsroom,bertscore,kendalltau,"(Fluency, precision)",0.2203248325021264
new,newsroom,bertscore,kendalltau,"(Fluency, recall)",0.18133088088435012
new,newsroom,bertscore,kendalltau,"(Fluency, f1)",0.2102382674088267
new,newsroom,bertscore,kendalltau,"(Relevance, precision)",0.27648241172432747
new,newsroom,bertscore,kendalltau,"(Relevance, recall)",0.2723160074499801
new,newsroom,bertscore,kendalltau,"(Relevance, f1)",0.2890168088199185
new,newsroom,bertscore,spearmanr,"(Coherence, precision)",0.3405376002340814
new,newsroom,bertscore,spearmanr,"(Coherence, recall)",0.31217058619269517
new,newsroom,bertscore,spearmanr,"(Coherence, f1)",0.34087637314002006
new,newsroom,bertscore,spearmanr,"(Informativeness, precision)",0.4304723692737013
new,newsroom,bertscore,spearmanr,"(Informativeness, recall)",0.4586768231384467
new,newsroom,bertscore,spearmanr,"(Informativeness, f1)",0.4711100688613698
new,newsroom,bertscore,spearmanr,"(Fluency, precision)",0.2910435585182629
new,newsroom,bertscore,spearmanr,"(Fluency, recall)",0.24356445591096249
new,newsroom,bertscore,spearmanr,"(Fluency, f1)",0.2799229609896067
new,newsroom,bertscore,spearmanr,"(Relevance, precision)",0.3603590564034967
new,newsroom,bertscore,spearmanr,"(Relevance, recall)",0.35634306507509633
new,newsroom,bertscore,spearmanr,"(Relevance, f1)",0.3762665735248818
new,newsroom,bleurt,pearsonr,"(Coherence, scores)",0.2998783333885462
new,newsroom,bleurt,pearsonr,"(Informativeness, scores)",0.4130435849680887
new,newsroom,bleurt,pearsonr,"(Fluency, scores)",0.2583858349704224
new,newsroom,bleurt,pearsonr,"(Relevance, scores)",0.3446757569445662
new,newsroom,bleurt,kendalltau,"(Coherence, scores)",0.20241891965346318
new,newsroom,bleurt,kendalltau,"(Informativeness, scores)",0.3033825057286443
new,newsroom,bleurt,kendalltau,"(Fluency, scores)",0.17148447210279566
new,newsroom,bleurt,kendalltau,"(Relevance, scores)",0.24313651741598655
new,newsroom,bleurt,spearmanr,"(Coherence, scores)",0.2699867231848094
new,newsroom,bleurt,spearmanr,"(Informativeness, scores)",0.39923481164882607
new,newsroom,bleurt,spearmanr,"(Fluency, scores)",0.22907713345573394
new,newsroom,bleurt,spearmanr,"(Relevance, scores)",0.3215046976559067
new,realsumm_abs,rouge1,pearsonr,"(litepyramid_recall, scores)",0.3233123444275029
new,realsumm_abs,rouge1,kendalltau,"(litepyramid_recall, scores)",0.21543617665062453
new,realsumm_abs,rouge1,spearmanr,"(litepyramid_recall, scores)",0.31698043204022797
new,realsumm_abs,rouge2,pearsonr,"(litepyramid_recall, scores)",0.32411722841106394
new,realsumm_abs,rouge2,kendalltau,"(litepyramid_recall, scores)",0.2173068213130148
new,realsumm_abs,rouge2,spearmanr,"(litepyramid_recall, scores)",0.32019622910470497
new,realsumm_abs,rougeL,pearsonr,"(litepyramid_recall, scores)",0.32676399139344814
new,realsumm_abs,rougeL,kendalltau,"(litepyramid_recall, scores)",0.2174161106949151
new,realsumm_abs,rougeL,spearmanr,"(litepyramid_recall, scores)",0.3200441891567805
new,realsumm_abs,rougeLsum,pearsonr,"(litepyramid_recall, scores)",0.32676399139344814
new,realsumm_abs,rougeLsum,kendalltau,"(litepyramid_recall, scores)",0.2174161106949151
new,realsumm_abs,rougeLsum,spearmanr,"(litepyramid_recall, scores)",0.3200441891567805
new,realsumm_abs,bertscore,pearsonr,"(litepyramid_recall, precision)",0.036766861042003676
new,realsumm_abs,bertscore,pearsonr,"(litepyramid_recall, recall)",0.3248452746491779
new,realsumm_abs,bertscore,pearsonr,"(litepyramid_recall, f1)",0.1914281417979327
new,realsumm_abs,bertscore,kendalltau,"(litepyramid_recall, precision)",0.030790046802229507
new,realsumm_abs,bertscore,kendalltau,"(litepyramid_recall, recall)",0.21789433806062222
new,realsumm_abs,bertscore,kendalltau,"(litepyramid_recall, f1)",0.12937211185668837
new,realsumm_abs,bertscore,spearmanr,"(litepyramid_recall, precision)",0.04570936460577797
new,realsumm_abs,bertscore,spearmanr,"(litepyramid_recall, recall)",0.32074181821543357
new,realsumm_abs,bertscore,spearmanr,"(litepyramid_recall, f1)",0.1928604827621306
new,realsumm_abs,bleurt,pearsonr,"(litepyramid_recall, scores)",0.23286929878314155
new,realsumm_abs,bleurt,kendalltau,"(litepyramid_recall, scores)",0.15180020999940166
new,realsumm_abs,bleurt,spearmanr,"(litepyramid_recall, scores)",0.22489590287772943
new,realsumm_ext,rouge1,pearsonr,"(litepyramid_recall, scores)",0.17056769992946544
new,realsumm_ext,rouge1,kendalltau,"(litepyramid_recall, scores)",0.11668324576907085
new,realsumm_ext,rouge1,spearmanr,"(litepyramid_recall, scores)",0.1707065957005945
new,realsumm_ext,rouge2,pearsonr,"(litepyramid_recall, scores)",0.16979206605718555
new,realsumm_ext,rouge2,kendalltau,"(litepyramid_recall, scores)",0.119155874680575
new,realsumm_ext,rouge2,spearmanr,"(litepyramid_recall, scores)",0.1740230088329624
new,realsumm_ext,rougeL,pearsonr,"(litepyramid_recall, scores)",0.17064807216820463
new,realsumm_ext,rougeL,kendalltau,"(litepyramid_recall, scores)",0.11848948672705939
new,realsumm_ext,rougeL,spearmanr,"(litepyramid_recall, scores)",0.17271776887656132
new,realsumm_ext,rougeLsum,pearsonr,"(litepyramid_recall, scores)",0.17064807216820463
new,realsumm_ext,rougeLsum,kendalltau,"(litepyramid_recall, scores)",0.11848948672705939
new,realsumm_ext,rougeLsum,spearmanr,"(litepyramid_recall, scores)",0.17271776887656132
new,realsumm_ext,bertscore,pearsonr,"(litepyramid_recall, precision)",0.03531317053455697
new,realsumm_ext,bertscore,pearsonr,"(litepyramid_recall, recall)",0.09073690022165626
new,realsumm_ext,bertscore,pearsonr,"(litepyramid_recall, f1)",0.06718809172240796
new,realsumm_ext,bertscore,kendalltau,"(litepyramid_recall, precision)",0.02440550827330555
new,realsumm_ext,bertscore,kendalltau,"(litepyramid_recall, recall)",0.049086580621041764
new,realsumm_ext,bertscore,kendalltau,"(litepyramid_recall, f1)",0.037999180258573566
new,realsumm_ext,bertscore,spearmanr,"(litepyramid_recall, precision)",0.03505721245130046
new,realsumm_ext,bertscore,spearmanr,"(litepyramid_recall, recall)",0.07147978589596034
new,realsumm_ext,bertscore,spearmanr,"(litepyramid_recall, f1)",0.05586095472205715
new,realsumm_ext,bleurt,pearsonr,"(litepyramid_recall, scores)",0.060340096339920005
new,realsumm_ext,bleurt,kendalltau,"(litepyramid_recall, scores)",0.0300019473396218
new,realsumm_ext,bleurt,spearmanr,"(litepyramid_recall, scores)",0.043896416724389244
